main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Temperature ],secondary value [Temperature]
8,168,12,425,42,929
7,535,359,302,1,221
9,455,2,395,42,922
7,621,3,476,2,901
7,706,4,671,31,746
8,24,9,108,1,327
8,718,2,962,40,870
9,836,7,244,40,952
9,765,32,872,5,215
9,960,4,757,27,680
8,144,33,42,2,950
7,789,3,807,3,995
7,891,7,82,39,945
8,549,5,99,2,194
8,315,2,956,10,332
9,443,36,872,3,235
9,933,22,697,22,564
8,400,13,47,395,113
8,574,19,210,28,993
7,842,3,655,23,257
9,17,44,55,27,512
896,347,5,664,28,358
80,243,8,684,9,25
9,837,9,247,569,233
8,796,37,253,28,572
782,863,2,285,2,762
9,178,5,242,38,795
7,759,3,962,2,814
9,668,9,525,5,71
8,993,30,416,9,844
7,921,28,947,8,352
7,900,9,57,5,166
8,284,46,72,8,570
9,245,5,724,5,489
9,961,33,187,5,76
9,206,4,401,24,526
7,742,8,917,3,667
9,924,28,675,49,737
9,712,5,596,22,33
8,265,8,623,4,998
9,146,5,445,39,840
9,345,9,977,740,516
9,45,1,544,26,472
8,441,7,667,3,418
8,386,2,60,5,308
9,379,5,4,23,174
9,509,8,479,42,607
7,528,7,376,3,231
8,504,3,397,2,218
7,554,782,598,7,861
8,50,27,113,3,566
8,103,6,861,15,227
8,744,12,737,4,459
8,120,2,637,41,386
7,793,5,615,18,638
9,217,502,765,3,175
8,261,655,48,21,821
9,141,2,502,7,496
7,970,5,844,31,262
8,329,5,675,3,298
9,843,482,784,2,922
8,11,32,967,22,726
8,468,7,786,4,994
8,924,7,669,10,348
8,696,544,960,7,883
9,182,9,968,3,475
9,123,3,259,467,171
860,496,15,84,5,40
988,705,5,752,566,554
8,765,38,32,3,296
8,507,19,968,5,319
91,906,34,443,4,757
9,59,2,620,5,702
9,40,8,285,39,302
897,489,13,296,133,296
9,32,13,683,7,940
7,989,7,655,38,204
8,977,7,950,4,492
9,647,28,43,45,626
7,917,23,699,10,580
8,730,92,235,24,15
9,593,37,335,2,130
7,976,8,711,1,242
928,677,35,919,4,264
8,603,9,856,34,942
7,844,5,523,47,284
9,719,32,592,3,938
9,654,30,817,5,620
9,118,8,628,27,475
8,850,9,405,16,945
9,87,7,840,5,13
9,658,17,765,38,284
8,976,8,419,4,314
9,888,2,834,4,596
8,914,5,898,4,586
9,110,7,482,5,155
9,491,523,555,19,358
760,110,9,512,47,703
9,403,5,250,3,377
8,411,706,594,1,668
8,599,6,759,3,843
8,224,9,190,3,954
9,472,46,928,2,742
8,715,8,305,31,477
835,75,5,888,47,957
7,642,46,329,4,449
7,925,5,846,5,414
9,207,8,63,27,861
7,923,12,462,1,386
8,471,8,407,4,480
8,709,8,820,31,807
8,526,5,271,30,554
9,240,5,137,4,790
8,500,1,450,38,856
9,544,22,694,19,918
9,14,3,38,38,390
9,610,4,37,13,640
7,930,22,359,49,953
8,434,47,221,5,68
7,508,2,701,20,665
767,47,3,670,5,119
8,84,6,241,2,860
8,665,6,338,48,958
8,496,713,199,44,693
8,380,3,725,4,427
8,995,5,84,36,782
852,943,952,159,4,885
8,866,6,170,28,857
9,786,2,996,9,865
9,663,3,539,35,537
7,917,29,425,4,977
7,665,952,212,13,18
8,545,6,822,35,766
8,860,6,415,1,415
9,104,31,350,4,409
9,179,6,685,287,363
966,559,35,72,238,650
7,952,31,331,5,268
9,851,36,823,4,387
8,266,6,773,470,587
9,992,7,261,5,207
7,502,17,541,16,518
8,395,37,868,40,741
9,259,647,547,2,839
7,879,198,692,4,236
9,738,8,890,33,628
9,558,1,473,5,544
7,915,7,956,3,73
9,213,8,237,4,87
8,866,5,11,42,206
8,807,5,888,2,149
9,405,8,888,20,491
9,726,8,99,22,196
9,671,3,980,5,152
7,764,6,315,2,174
9,52,9,448,35,885
8,71,8,830,27,731
9,63,8,661,41,926
7,914,3,584,18,548
7,623,5,841,360,840
944,993,595,36,5,274
8,795,4,187,32,671
9,833,5,301,14,821
9,469,85,116,2,694
88,704,39,948,34,120
8,805,23,60,44,895
9,765,783,906,19,548
9,877,16,114,2,791
9,509,12,701,5,567
866,391,9,859,39,783
8,871,9,539,5,189
8,649,8,436,5,235
9,431,23,170,4,621
7,779,626,709,17,436
823,949,23,148,2,626
8,950,9,765,3,545
9,559,42,877,7,198
7,815,5,186,5,554
7,666,9,732,5,267
9,550,40,402,7,403
8,881,35,474,10,468
8,27,9,808,5,81
8,825,832,437,4,522
7,778,30,153,4,868
8,540,5,353,1,247
8,80,4,162,24,630
9,909,600,826,16,313
7,942,5,712,38,938
8,722,8,951,4,605
9,555,3,866,30,241
8,455,36,546,40,288
7,958,9,791,15,93
9,287,8,778,48,162
9,672,8,744,35,996
7,595,42,679,22,198
8,525,4,372,3,996
7,846,38,822,3,753
9,364,34,452,38,987
8,411,4,691,28,749
7,986,3,387,2,929
8,625,8,783,5,549
7,833,8,603,16,836
9,37,24,956,3,421
9,178,4,207,5,323
7,615,218,931,20,933
8,609,9,673,3,833
7,784,34,670,6,12
8,436,5,610,3,649
9,760,8,549,8,809
8,480,23,897,45,593
8,12,22,427,844,199
8,894,8,906,5,44
9,65,6,506,2,515
9,366,7,713,55,777
9,677,6,337,555,576
9,343,9,782,3,13
8,71,7,928,3,331
7,750,35,149,4,494
9,962,5,845,2,164
9,169,573,691,6,208
9,857,48,364,16,77
8,86,26,724,13,957
9,379,8,450,17,551
7,691,3,932,3,587
9,337,708,156,13,822
9,400,44,914,4,429
78,671,6,893,2,647
7,837,5,441,349,132
8,297,7,227,427,405
7,550,25,823,38,601
7,849,8,859,13,947
920,148,4,370,4,95
8,9,6,186,11,91
7,810,1,937,20,669
7,593,8,980,22,9
8,480,6,702,14,691
96,935,7,182,2,75
882,824,8,508,2,647
9,659,9,661,3,6
9,191,471,885,4,305
9,402,852,946,26,116
8,959,6,262,23,293
9,208,3,410,5,351
8,38,14,758,14,46
8,849,5,797,16,125
8,705,9,545,41,71
800,185,8,295,28,104
9,679,24,965,30,708
8,93,8,494,3,240
8,216,19,704,40,936
9,799,41,941,49,664
9,376,6,190,266,646
9,787,8,995,5,152
8,126,5,104,3,713
7,668,41,919,4,211
938,524,5,168,42,906
969,681,6,869,16,285
7,867,7,494,15,460
805,910,9,322,19,310
8,779,17,824,4,44
9,221,4,879,13,438
9,256,5,285,35,236
9,933,5,60,13,78
9,35,4,190,40,586
8,647,9,502,30,943
918,886,8,342,4,871
8,536,7,224,9,906
8,232,42,542,8,656
8,585,6,485,3,558
909,317,3,920,2,848
8,56,7,48,40,516
9,91,2,792,44,927
7,988,5,120,26,531
8,747,3,365,2,695
9,2,27,275,288,4
8,58,8,624,4,233
8,168,9,448,28,974
8,718,9,700,5,304
8,388,6,143,4,154
7,991,34,527,20,324
79,177,21,945,44,973
9,868,34,463,25,774
9,798,905,683,5,430
8,565,40,705,3,447
7,720,7,805,547,642
9,193,4,107,6,466
9,159,8,148,5,51
7,544,5,583,8,982
791,13,8,416,43,380
7,847,9,994,30,146
9,286,2,568,3,288
9,757,15,201,4,164
9,377,11,926,10,82
7,657,9,250,120,610
930,890,172,987,35,952
9,821,6,287,10,814
8,45,6,17,44,487
7,899,8,151,38,428
8,449,30,829,16,922
8,232,8,588,57,603
8,60,44,568,13,139
8,659,762,293,5,342
9,295,8,73,2,516
9,909,5,173,4,567
8,391,4,26,13,700
8,376,28,993,37,407
8,490,9,564,5,522
9,563,6,355,21,456
9,684,9,723,5,617
7,664,30,933,26,729
8,316,5,898,33,685
8,344,5,923,3,200
8,888,14,445,10,682
9,750,4,380,12,888
9,682,8,869,26,988
7,916,13,301,4,945
8,543,44,665,13,912
9,332,47,695,32,673
8,287,8,817,22,319
9,655,889,57,40,157
8,795,15,961,2,663
7,709,8,791,23,464
7,580,8,202,38,435
781,836,22,653,1,439
8,711,7,870,4,177
926,423,3,656,44,539
8,757,11,218,6,35
9,343,3,809,24,335
812,452,8,54,3,913
9,580,47,339,27,215
9,395,18,392,45,642
9,817,984,860,37,727
7,826,4,726,5,163
9,951,8,715,40,64
9,996,8,398,5,590
7,727,578,950,17,715
9,428,6,572,2,469
8,461,56,600,502,947
8,708,330,448,30,561
9,255,5,523,5,227
8,656,47,4,4,959
7,796,6,306,22,717
9,959,3,162,17,10
8,903,21,596,22,867
7,730,8,369,4,368
9,171,29,934,4,341
9,502,6,148,5,64
9,197,7,649,46,897
8,218,7,275,4,50
8,371,7,130,17,218
8,460,3,984,15,138
7,575,36,169,19,916
8,996,20,889,4,561
8,471,4,884,5,639
8,722,3,113,3,708
8,529,6,365,3,204
8,359,6,57,428,98
9,150,948,263,3,849
977,764,1,480,18,85
8,227,8,740,39,340
7,760,1,850,5,191
8,217,17,532,678,53
8,43,4,630,5,341
9,920,7,158,2,965
8,384,9,436,431,814
9,242,5,597,18,412
9,263,335,762,46,313
8,966,5,603,14,822
7,711,3,650,8,409
8,693,4,499,1,339
8,205,4,293,2,938
7,812,12,712,13,480
9,479,13,456,41,116
8,98,49,708,5,448
8,621,45,460,43,29
7,526,37,612,2,344
976,855,5,436,4,98
9,644,6,749,22,547
8,969,2,235,3,916
7,866,8,263,28,488
8,83,9,440,1,149
9,974,25,969,44,436
8,605,8,780,4,375
7,720,6,228,37,853
9,532,5,961,49,988
79,487,5,590,24,687
8,369,5,217,3,515
9,261,21,309,40,237
8,36,9,77,3,399
8,778,5,305,21,440
8,211,47,250,39,942
9,565,382,823,5,340
7,943,9,628,1,534
9,751,9,71,5,598
9,735,5,3,668,827
7,516,7,923,5,28
8,524,2,842,16,733
7,501,9,565,514,334
8,693,4,154,6,65
7,643,11,174,10,307
7,962,4,902,5,430
8,654,9,998,19,518
7,590,2,920,2,459
9,191,779,585,2,547
9,731,6,563,12,332
7,773,9,997,29,674
89,102,21,640,20,330
9,404,18,982,559,544
8,436,4,611,2,855
7,665,8,594,3,768
9,437,8,222,5,527
9,64,7,273,35,557
8,149,17,692,6,351
7,924,545,367,20,19
927,218,1,369,26,747
8,234,9,315,36,6
7,671,41,143,4,156
9,512,5,336,25,904
9,382,13,992,25,124
8,48,23,402,1,537
9,339,11,735,5,556
9,472,8,768,18,804
9,504,585,737,3,907
813,620,6,949,3,366
8,850,17,783,6,500
8,235,9,867,1,501
9,986,2,886,10,397
9,981,11,185,4,58
7,774,1,598,34,505
8,240,9,134,863,662
8,148,3,71,11,680
9,500,3,142,4,977
7,559,3,462,5,166
7,960,2,16,24,464
810,441,5,751,20,710
812,909,6,411,1,444
7,947,99,653,2,137
7,895,7,721,1,726
7,952,706,330,36,215
8,934,6,251,5,152
8,522,35,891,12,361
7,640,3,156,39,487
9,371,16,310,4,123
8,204,3,229,11,458
9,822,7,355,12,708
7,716,9,563,3,462
8,487,5,667,2,982
9,579,6,461,4,582
7,994,7,40,29,506
8,85,12,178,29,460
9,971,7,510,2,289
7,828,9,909,4,145
866,665,6,894,4,32
9,19,42,901,3,715
8,14,8,494,13,915
7,763,9,194,20,236
8,771,40,670,3,203
7,521,9,167,4,850
8,248,8,113,18,915
8,325,46,433,11,537
7,830,5,707,4,707
9,59,3,99,3,4
9,50,6,719,38,6
7,811,8,861,39,454
9,51,4,431,26,557
8,127,7,12,3,358
9,756,9,791,36,500
8,927,7,462,3,124
8,593,7,561,18,391
7,878,5,473,8,480
860,624,8,181,1,822
7,711,5,204,4,927
9,65,47,98,22,357
7,678,4,823,37,278
9,1,6,200,43,120
8,549,20,514,26,127
7,759,8,709,2,495
7,824,17,554,4,369
7,583,8,890,7,784
8,218,5,96,5,662
8,261,6,599,21,937
7,544,1,305,536,868
7,607,7,427,4,909
8,507,5,560,41,689
9,770,8,691,44,131
8,989,19,864,4,797
8,127,5,504,20,226
8,946,5,719,43,175
9,781,168,766,20,642
8,684,9,720,28,868
7,612,311,302,48,778
8,958,12,140,10,934
9,573,6,142,7,571
8,194,817,566,4,626
8,105,8,584,549,12
8,83,3,823,32,682
7,667,7,313,3,196
9,542,2,697,32,45
8,196,22,781,6,494
9,305,5,670,22,199
9,962,8,790,27,947
7,965,22,698,11,199
9,305,26,469,27,900
9,25,48,0,5,363
8,337,7,958,28,903
9,766,3,597,3,482
9,970,7,61,21,392
7,880,2,1,15,796
9,369,8,513,5,245
7,628,8,82,25,930
8,830,27,845,3,874
8,709,6,685,2,507
8,929,3,762,4,727
9,806,2,566,6,985
7,555,42,257,542,884
8,653,9,397,2,441
9,824,3,792,5,42
8,565,5,526,5,530
9,227,45,77,3,779
868,892,32,621,504,127
9,709,709,956,3,27
9,788,8,412,7,228
7,740,36,508,4,526
825,208,23,167,38,346
866,325,8,866,15,142
7,688,4,907,11,880
904,861,3,394,2,916
8,527,95,500,2,294
8,67,19,715,23,157
8,749,9,416,30,934
9,569,2,632,29,537
8,6,30,119,38,959
7,522,2,950,5,558
8,415,7,507,4,418
794,173,35,199,4,213
8,249,6,438,14,894
9,880,793,76,3,421
98,688,29,909,5,482
8,320,5,293,10,646
8,427,9,826,915,976
9,705,3,996,23,435
7,987,8,927,14,41
863,39,7,887,41,636
7,589,23,233,2,324
8,651,6,426,12,3
8,552,7,134,11,548
9,173,3,469,2,438
8,975,5,548,3,267
8,189,7,899,6,163
810,546,6,476,26,718
7,778,1,764,3,580
9,584,6,642,2,451
9,243,18,566,21,603
9,190,6,185,5,150
8,581,39,528,19,863
769,963,4,328,35,927
8,2,45,215,34,829
9,352,4,643,21,82
9,109,9,412,28,704
8,259,7,969,17,444
9,297,11,935,23,632
7,575,365,661,21,916
8,597,14,573,19,410
838,893,9,93,2,65
9,628,7,311,11,239
9,110,6,696,3,722
835,656,471,170,5,547
8,894,3,492,30,906
842,297,9,398,24,466
8,46,2,500,37,17
9,383,6,626,17,796
7,720,5,3,8,2
7,683,4,39,42,57
9,62,7,115,1,516
836,227,79,595,3,81
7,791,32,771,2,610
7,926,45,725,19,323
9,612,6,237,48,120
9,557,6,523,24,683
758,38,4,999,656,493
7,502,9,564,1,693
9,818,15,753,5,621
8,482,8,975,19,936
827,984,7,294,57,241
9,19,8,710,1,228
7,830,7,284,15,365
9,966,6,728,48,932
8,770,2,810,24,722
9,917,15,489,5,262
966,566,7,403,4,140
7,961,7,218,503,743
8,362,48,935,23,748
9,591,951,476,25,644
8,819,11,978,29,64
8,733,38,78,4,441
9,341,39,12,1,875
9,73,8,329,3,463
8,367,6,482,5,649
9,626,9,587,23,362
7,599,7,422,7,72
9,952,3,3,2,739
766,835,2,258,3,438
9,154,5,742,2,161
9,948,5,602,10,785
923,181,9,727,4,724
924,380,48,279,27,976
9,975,3,473,24,715
760,722,46,43,46,470
7,596,27,274,2,267
9,918,5,860,970,452
7,507,15,414,930,664
8,520,6,253,3,899
8,597,40,182,39,673
9,835,5,602,19,714
8,150,5,498,18,120
9,742,4,312,6,531
9,600,7,824,4,660
8,572,8,84,5,355
9,127,9,111,41,132
8,312,9,883,14,273
7,850,8,796,59,568
955,694,14,605,39,868
7,889,9,128,4,604
7,711,678,417,2,602
8,893,4,74,7,517
8,576,8,316,502,115
9,166,5,603,21,710
7,703,6,871,1,385
8,55,5,781,13,38
9,322,4,749,9,884
9,185,723,53,1,679
8,776,4,538,3,728
8,25,6,320,44,570
8,405,47,653,2,831
9,371,6,1,5,160
8,382,9,990,37,155
9,158,7,475,19,242
9,404,7,838,34,315
7,734,12,975,14,561
8,772,7,592,3,279
8,459,68,213,37,821
7,871,552,472,8,496
9,946,5,276,20,514
8,141,349,935,312,109
7,695,6,417,3,269
8,692,32,379,30,922
7,721,6,940,4,578
9,322,706,360,18,472
9,441,6,296,4,620
8,283,5,6,6,220
8,325,12,884,3,494
8,72,5,133,4,55
8,330,4,761,5,469
9,398,8,59,10,913
9,756,9,708,8,736
8,368,23,413,34,638
8,61,32,229,9,311
9,62,9,315,40,959
8,146,5,535,5,473
9,736,6,283,4,424
9,513,5,782,11,695
8,312,6,700,11,745
86,865,9,13,5,120
7,782,4,811,1,341
913,563,24,643,18,565
8,279,44,808,8,499
9,915,1,855,39,675
9,222,7,934,2,880
8,328,3,631,13,268
8,81,20,514,5,270
7,677,3,784,7,268
9,59,4,547,5,694
9,365,1,715,21,80
8,756,9,929,3,810
7,733,26,48,5,673
8,616,27,669,4,963
9,953,7,146,17,232
842,205,8,614,18,512
9,107,7,962,17,862
8,203,1,713,5,526
8,991,9,211,373,700
7,906,589,735,5,247
8,46,40,397,5,279
7,527,4,371,49,513
915,441,37,668,45,524
7,942,43,856,9,908
9,468,39,648,35,977
7,990,5,819,12,586
9,438,9,917,404,545
9,789,5,968,5,676
8,635,3,604,3,557
9,819,9,167,9,881
8,3,5,706,181,475
9,859,9,882,1,520
8,876,16,840,5,578
7,888,9,964,55,513
7,691,6,795,4,287
9,416,2,4,794,8
9,243,9,620,26,788
9,544,5,84,5,337
9,929,5,956,3,565
8,604,8,275,36,458
934,499,8,585,531,879
959,326,2,269,1,259
9,724,8,768,9,156
7,512,28,854,8,975
7,671,12,345,4,502
8,629,4,848,17,76
9,240,44,211,20,937
7,612,3,401,32,243
9,427,5,949,17,302
9,479,2,820,18,407
8,990,4,277,12,11
9,972,6,229,1,801
9,868,48,488,2,456
7,547,278,303,20,400
9,861,8,458,2,588
9,360,2,664,3,657
787,257,6,713,43,435
8,580,280,369,18,566
9,298,5,436,5,647
864,621,4,808,5,576
841,923,7,774,3,900
7,738,739,672,5,610
9,314,523,711,10,636
9,552,9,770,11,817
982,998,14,714,47,400
9,682,12,495,563,129
943,239,5,512,9,158
8,955,3,26,41,105
7,947,21,368,4,5
8,125,19,620,2,696
8,833,46,524,19,575
8,989,9,722,5,390
9,636,9,430,23,619
8,678,5,138,5,679
7,990,5,49,192,576
8,861,6,647,22,465
9,715,8,318,4,781
7,996,12,809,11,685
7,603,5,267,19,199
7,617,9,542,39,768
7,802,5,738,30,142
8,750,580,443,21,928
9,334,21,176,517,238
8,492,23,109,12,315
9,130,4,11,4,902
98,624,5,433,3,872
819,947,9,993,5,100
7,965,869,292,22,324
8,980,7,101,4,820
7,614,970,697,3,1
8,310,14,336,27,205
8,763,3,164,3,694
876,469,9,697,11,419
873,124,47,634,26,501
7,742,7,877,5,732
9,756,3,451,4,483
8,64,11,847,2,623
7,568,844,915,131,468
9,482,8,375,31,347
7,724,5,210,21,722
8,248,6,94,2,342
8,176,3,215,2,4
7,696,7,260,9,388
8,637,977,991,34,248
8,894,557,253,28,158
8,336,827,912,568,375
9,877,8,211,4,914
8,311,9,166,12,312
9,568,11,492,5,148
7,544,8,217,28,25
8,400,5,132,5,622
