main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
48,661,2,556,3,10,49,613,627,631,7,541,6,365
16,916,2,709,6,325,6,777,14,150,8,344,6,627
7,419,2,920,5,26,6,12,5,198,4,165,8,427
6,615,15,656,5,341,9,811,1,8,8,692,3,380
5,273,19,308,5,930,7,381,12,26,7,39,7,118
24,857,47,888,23,233,5,196,2,537,8,942,45,779
49,552,4,934,14,851,7,425,25,592,39,374,3,202
492,859,443,937,28,542,6,846,872,806,5,284,7,684
4,275,25,599,49,269,9,597,1,393,9,528,20,901
15,115,34,904,7,325,6,836,14,278,17,941,7,639
2,538,14,546,8,515,5,877,7,939,8,585,9,771
6,913,38,63,7,860,8,416,6,930,19,528,7,164
10,114,5,236,8,243,9,127,1,150,24,117,6,341
6,364,2,970,607,951,7,648,11,793,1,482,3,907
4,892,4,697,14,649,9,654,23,978,28,124,9,391
1,275,3,109,7,389,46,888,2,613,7,668,7,899
24,73,12,201,4,853,9,540,3,849,3,327,2,428
23,725,28,457,6,210,8,248,14,161,2,818,2,636
15,766,37,31,3,261,6,758,2,42,5,577,2,265
46,970,4,7,20,24,89,685,23,504,48,222,54,118
38,173,5,240,3,812,5,203,12,67,21,183,3,566
5,470,3,775,5,317,7,644,16,272,14,873,9,39
5,262,5,516,6,0,7,372,8,911,9,505,8,941
7,436,42,737,8,255,7,298,12,328,39,227,6,621
41,627,33,90,4,3,8,754,37,590,4,191,1,954
5,539,19,717,3,195,6,152,5,689,9,885,8,240
37,823,17,199,43,805,9,23,6,744,12,782,7,802
33,629,49,222,5,982,6,641,15,257,7,351,24,36
785,149,2,438,6,38,43,933,2,378,9,685,2,912
5,861,43,976,1,527,9,164,7,361,7,350,61,842
7,230,2,652,4,176,5,459,19,934,10,326,17,14
4,116,25,972,4,871,5,30,4,95,39,157,2,762
7,171,17,463,24,462,9,552,27,182,33,910,12,441
29,640,446,830,5,853,8,773,25,399,2,591,29,525
4,4,3,87,7,42,7,18,13,114,3,246,99,19
8,862,5,134,6,531,4,787,22,117,9,754,5,102
731,754,1,946,4,319,8,507,16,838,2,130,47,783
43,932,1,418,49,447,7,480,12,795,48,238,39,875
42,646,1,785,2,967,5,610,5,688,9,588,9,193
44,514,36,803,557,782,8,141,6,628,9,26,8,662
7,310,5,56,7,704,47,92,21,619,7,762,12,637
5,853,5,438,3,10,5,500,5,63,27,682,4,226
3,806,25,324,4,459,6,226,10,566,5,62,2,774
6,189,1,588,682,811,8,472,7,811,43,642,4,377
6,765,46,593,49,873,5,502,8,727,5,658,12,236
17,29,2,576,6,245,9,575,1,567,6,694,8,785
3,955,4,91,3,221,9,202,687,754,4,179,8,995
3,527,43,176,17,779,7,17,4,980,8,47,4,593
18,428,2,931,5,201,5,1,2,671,2,611,8,253
458,472,2,704,5,140,5,278,22,649,65,811,7,801
11,216,2,440,721,952,8,427,2,323,8,694,8,1
11,376,5,189,18,407,8,774,4,55,4,737,9,851
5,39,4,529,3,740,7,300,47,866,7,958,5,640
5,98,2,599,7,856,8,277,3,979,1,941,33,620
564,946,4,32,6,544,6,270,9,810,15,752,4,504
32,262,28,706,7,676,4,907,1,729,9,710,15,985
18,945,27,777,22,935,7,694,23,936,14,946,8,835
7,468,4,895,18,245,8,157,7,947,23,739,9,569
7,180,1,671,7,308,9,174,16,665,37,422,6,563
375,627,3,269,18,173,9,906,2,665,4,208,9,382
555,708,30,691,10,854,7,74,6,167,7,725,5,938
5,554,2,819,8,211,5,827,18,212,8,222,37,69
5,229,3,144,7,311,4,613,3,952,8,760,3,566
36,7,3,861,49,944,9,994,8,712,7,8,7,201
2,319,11,733,7,549,5,572,24,659,3,96,4,583
12,716,26,345,16,483,8,388,49,520,3,895,5,39
7,309,4,135,3,11,5,578,17,994,9,500,5,882
10,407,3,255,25,69,5,599,817,373,5,225,9,583
5,42,4,37,3,580,8,402,936,708,8,279,2,41
6,108,40,83,6,91,6,622,21,953,9,745,16,88
2,847,37,200,7,457,7,737,33,148,5,918,6,970
10,223,5,92,7,477,5,834,7,623,4,707,7,461
19,196,4,544,5,715,6,99,27,235,3,260,2,199
36,457,23,938,6,269,7,904,13,586,7,158,8,301
37,196,5,162,1,707,7,261,7,167,3,641,2,533
6,110,24,375,8,437,5,602,2,262,1,4,9,802
20,79,1,279,6,538,9,642,2,208,7,282,2,834
5,832,22,619,8,22,8,327,1,756,5,939,6,982
5,857,4,107,3,755,5,859,6,530,5,105,7,494
5,41,20,518,5,401,7,984,24,704,8,320,1,728
6,568,43,396,5,670,8,297,6,697,6,771,7,438
32,126,2,209,5,839,8,307,19,664,2,28,5,112
4,708,18,453,5,799,45,669,7,806,9,34,6,360
6,128,354,615,19,992,6,661,2,373,9,849,9,668
6,637,4,529,7,939,5,750,1,558,9,919,5,553
1,309,2,655,484,429,5,524,8,768,6,492,9,238
337,632,471,871,5,429,9,675,28,202,9,357,3,795
5,482,2,958,17,352,6,459,3,476,5,202,15,254
9,484,4,287,16,282,6,142,6,493,9,11,6,668
4,108,36,145,4,178,5,249,9,399,16,880,2,554
182,900,2,712,2,896,44,536,14,577,9,673,6,292
14,411,49,441,8,51,6,649,3,467,7,820,2,663
3,651,14,60,6,220,8,714,16,739,19,38,41,1
6,218,5,384,3,774,5,95,24,291,35,179,10,784
5,267,4,481,20,63,8,947,5,293,9,290,6,936
3,144,13,492,7,58,46,151,21,971,8,82,7,574
6,360,2,832,13,550,7,294,13,224,3,312,6,588
1,434,24,212,6,683,9,236,15,883,4,962,45,251
432,935,19,807,3,2,9,947,2,712,5,633,9,414
3,873,1,355,972,773,5,430,19,555,4,475,3,481
47,398,3,580,8,263,5,488,11,575,4,458,5,598
2,708,3,260,518,432,6,219,5,947,8,286,6,938
4,479,16,160,5,1,5,606,7,173,16,911,9,304
3,511,32,277,39,791,7,604,20,690,5,410,5,208
386,907,21,600,8,747,5,574,14,368,7,56,8,549
29,484,5,19,5,76,7,612,7,613,3,818,7,761
6,847,4,14,4,920,5,490,4,132,45,376,6,253
1,842,2,65,6,200,7,49,2,525,3,261,6,714
5,350,46,195,800,499,6,513,5,743,6,240,7,591
7,485,28,560,7,446,7,411,31,220,8,341,7,255
51,754,3,870,5,66,9,377,8,7,6,303,9,685
5,884,45,585,801,630,5,618,20,579,8,606,15,746
21,371,43,871,5,953,7,874,8,618,1,668,6,281
626,638,3,458,9,705,9,936,26,994,6,449,44,506
7,111,11,509,6,755,7,760,6,633,37,656,7,235
0,0,22,342,7,721,5,56,13,621,9,916,9,664
6,485,46,440,3,191,7,607,12,361,9,39,36,324
4,581,3,596,7,441,5,498,56,506,7,371,4,97
19,158,30,619,14,855,7,146,3,702,8,844,3,136
16,403,29,81,222,795,6,837,7,366,9,533,1,585
9,598,4,933,3,525,5,324,7,948,9,571,16,446
6,120,49,619,4,698,6,720,19,372,11,991,7,899
6,336,2,973,5,767,9,91,23,987,7,369,3,295
9,772,23,792,5,616,8,476,7,234,22,552,10,631
17,702,49,925,5,844,8,625,21,405,7,816,7,760
26,490,24,274,20,601,6,602,27,602,8,322,5,968
39,926,2,397,23,813,6,653,6,689,7,369,9,64
6,880,5,296,17,76,5,26,11,108,24,827,24,164
7,167,47,754,7,245,9,906,2,691,5,910,48,815
6,274,5,163,5,22,8,222,1,653,7,444,9,838
6,987,3,471,5,726,6,364,19,661,3,549,18,468
62,368,4,252,4,385,4,974,6,341,7,922,8,852
6,362,42,171,6,269,10,0,4,96,7,645,4,721
35,668,2,908,21,838,6,205,62,480,9,54,8,657
4,656,20,559,2,682,8,63,62,50,6,596,3,165
38,191,38,861,312,852,48,529,11,862,5,648,3,980
25,12,15,518,4,928,9,274,22,943,23,55,2,944
136,598,5,254,21,286,7,190,1,423,21,294,9,34
2,485,4,425,10,27,9,908,1,967,7,507,2,105
3,645,15,128,7,508,7,770,23,227,6,329,47,179
14,627,12,366,22,588,4,757,79,893,9,935,9,974
1,603,21,596,21,15,5,30,652,908,9,889,9,841
5,563,29,413,754,241,4,531,293,175,2,7,3,550
3,183,11,954,21,343,5,592,10,784,2,972,2,955
5,758,42,976,5,628,8,586,15,981,4,173,9,824
8,353,27,809,42,81,7,31,19,670,6,37,5,633
15,942,30,404,7,650,9,62,9,872,19,684,5,662
597,360,11,788,42,466,7,307,4,15,4,151,13,12
6,857,3,811,7,186,7,877,18,252,7,979,7,931
38,620,11,191,6,969,8,893,4,487,26,801,2,538
811,319,12,391,7,37,6,452,24,733,35,239,3,275
30,165,22,158,3,288,7,254,1,843,26,589,46,545
3,624,4,693,5,279,46,391,3,845,7,390,2,833
20,683,34,898,4,112,6,133,27,141,7,11,43,468
5,322,4,41,661,738,8,277,8,880,2,353,29,383
5,736,549,119,24,710,8,894,25,487,7,865,3,550
49,3,5,508,44,134,4,536,1,738,3,552,3,169
3,554,20,800,4,689,5,219,18,819,5,211,3,741
4,873,12,488,12,80,6,256,25,616,12,577,44,949
6,524,3,828,22,579,5,68,22,405,8,485,7,397
16,89,5,504,817,17,7,937,2,67,7,737,5,544
5,54,2,877,2,625,8,23,5,12,3,561,7,49
41,725,501,912,7,990,6,579,16,538,8,455,38,840
1,934,21,39,41,195,8,789,12,797,14,33,9,29
7,269,5,17,12,850,9,377,22,47,7,413,5,79
49,527,20,317,23,825,8,254,2,618,7,697,6,138
6,513,23,165,1,587,9,332,1,860,10,831,12,374
5,28,5,528,801,792,8,13,11,302,8,270,6,917
4,194,1,352,31,114,7,137,1,782,6,793,7,455
3,106,5,262,6,423,9,719,3,584,6,248,39,326
5,353,37,539,43,452,8,287,11,309,19,135,23,767
22,868,5,266,28,129,9,831,2,534,3,568,6,366
37,67,32,445,9,361,8,768,970,536,7,47,12,394
2,326,3,589,11,15,7,908,2,586,2,137,9,784
45,736,44,488,5,127,5,450,1,196,5,787,9,622
5,238,3,347,3,213,8,509,10,287,4,853,5,485
6,404,16,581,18,179,7,562,1,681,2,764,34,890
3,71,5,412,8,106,9,527,18,688,9,277,21,438
6,221,33,953,2,965,6,960,18,403,30,798,33,892
10,901,48,668,32,951,9,665,1,936,7,492,1,908
39,804,43,350,5,231,5,266,18,488,8,537,39,890
141,961,375,406,5,57,7,23,16,98,6,404,9,953
3,35,182,16,3,706,9,126,26,94,5,621,8,66
7,69,19,829,12,19,6,960,2,64,7,522,8,191
23,586,489,685,12,123,9,348,22,875,9,866,4,915
2,435,2,105,21,334,7,492,5,451,6,823,5,21
133,818,46,563,7,527,4,756,11,780,3,186,5,593
17,497,243,652,6,960,7,357,21,797,6,530,9,694
5,140,25,175,46,606,9,179,1,544,9,964,19,117
43,910,314,367,7,360,4,879,25,463,6,844,22,454
3,649,3,42,2,523,47,173,18,68,2,678,5,4
710,258,5,265,5,50,5,875,18,835,8,587,15,755
24,607,36,974,12,459,7,868,8,98,8,627,8,10
626,845,15,744,5,174,5,579,7,930,3,962,5,608
3,273,16,125,3,532,9,553,10,191,14,666,6,816
6,762,1,455,8,399,8,180,2,98,13,896,5,627
7,123,25,835,42,390,4,630,16,807,9,694,7,473
11,140,2,396,26,156,9,911,9,265,8,598,8,234
17,319,3,535,5,866,8,544,22,317,7,209,4,390
8,131,12,114,13,183,8,850,22,149,26,276,6,65
21,851,26,232,839,606,6,420,9,29,45,739,9,179
5,279,4,737,5,734,7,84,22,346,11,709,4,389
6,127,1,747,5,46,6,399,9,389,9,781,28,721
48,489,17,978,16,670,9,906,1,945,6,133,7,794
5,558,29,395,3,462,6,553,28,454,39,46,5,611
65,440,38,789,8,390,5,477,148,385,38,796,8,720
5,633,3,688,6,808,8,576,1,642,5,293,24,205
5,18,288,444,44,29,6,558,529,791,6,372,40,550
6,379,423,517,23,813,7,222,5,180,14,340,11,456
31,62,14,595,5,220,7,87,8,133,3,599,3,394
5,526,480,406,29,126,9,239,18,922,8,973,8,141
4,317,3,755,14,905,8,413,9,836,6,260,2,608
4,281,3,180,14,157,9,74,15,353,9,828,18,515
6,955,23,793,7,164,5,519,12,344,6,345,7,475
12,309,32,657,7,317,8,618,16,780,5,21,7,420
11,688,3,843,4,844,5,795,16,434,9,880,2,105
6,274,33,444,5,937,7,963,2,116,5,76,9,43
7,151,46,229,4,279,9,363,573,137,5,436,8,9
7,455,38,298,48,349,5,387,5,896,33,255,6,692
14,237,4,518,4,310,8,989,16,628,5,973,6,547
22,917,49,705,3,187,9,259,8,772,43,78,3,47
5,126,4,550,1,450,6,20,4,195,37,638,20,29
13,612,35,852,37,777,7,8,17,544,1,402,9,521
3,581,38,728,8,354,7,876,20,153,9,138,11,267
46,821,42,797,6,494,7,382,11,514,47,21,7,478
5,891,26,312,7,875,7,188,2,694,37,370,5,186
7,195,359,928,727,546,7,769,2,463,2,948,5,85
8,952,49,587,27,325,6,959,18,943,9,320,2,633
24,56,17,489,8,288,9,249,19,356,3,642,8,188
53,627,5,106,7,278,5,285,20,410,49,58,7,576
30,286,3,825,4,972,9,796,14,922,25,8,1,284
6,208,47,451,6,74,8,45,416,361,28,944,8,500
24,238,15,844,39,457,6,405,1,761,15,792,8,65
1,734,4,277,7,232,9,446,21,473,28,420,7,287
49,854,24,454,3,173,6,629,15,237,5,52,6,266
36,576,4,446,734,473,47,457,24,409,8,53,9,127
13,573,5,36,22,952,9,357,6,899,9,103,7,965
5,995,45,388,21,968,8,611,12,311,4,291,20,521
24,350,26,26,35,78,4,451,22,405,6,988,7,937
526,557,3,630,15,520,9,314,4,231,8,909,8,771
24,243,16,783,5,878,9,392,15,499,10,257,1,723
1,583,5,451,1,714,8,431,23,179,9,195,6,320
28,182,3,376,8,70,7,636,1,189,11,171,5,307
534,525,48,737,6,487,7,160,6,698,29,622,3,674
6,363,38,418,7,37,6,899,25,776,2,663,38,220
4,172,43,536,23,832,5,799,24,10,6,86,8,246
15,271,2,23,46,590,9,509,6,276,8,637,8,921
5,267,14,301,1,316,9,979,15,328,39,859,3,286
3,351,476,184,3,357,7,979,18,196,26,136,8,485
38,788,14,808,39,755,5,120,688,762,46,867,47,578
3,298,1,347,6,838,9,300,11,418,6,798,1,663
1,133,12,553,6,930,6,711,12,834,4,783,7,507
19,657,3,938,2,649,46,458,16,957,45,409,38,325
5,526,1,284,35,428,7,313,12,690,4,637,9,585
7,48,49,818,773,273,7,154,2,625,5,581,9,724
21,217,26,407,6,262,9,170,3,151,6,698,8,250
628,313,47,129,4,511,7,853,568,795,7,948,6,271
6,36,54,493,8,224,6,658,13,729,26,942,21,732
36,550,2,633,4,185,7,970,13,161,6,894,11,656
6,144,5,83,34,195,4,889,9,511,9,183,4,404
6,405,47,552,7,156,8,170,9,828,21,249,7,20
2,767,15,672,688,282,7,293,6,689,44,443,5,377
5,407,5,135,5,794,6,855,15,181,6,169,8,435
6,924,2,829,8,612,5,224,10,344,8,612,2,684
27,239,43,625,35,340,45,151,860,220,34,865,20,579
2,978,16,168,2,574,9,630,257,534,9,386,23,829
6,127,43,353,45,692,6,762,15,152,7,287,11,392
14,422,43,791,8,202,8,94,3,385,7,824,7,789
9,460,17,846,35,140,6,751,8,168,3,20,5,27
6,63,13,53,4,87,6,172,5,486,3,634,18,0
1,449,4,854,1,25,47,6,22,973,5,518,6,336
47,391,16,752,7,227,6,852,8,840,18,692,8,51
5,384,17,382,5,547,7,636,9,368,5,238,7,945
8,160,43,992,7,607,9,87,1,257,3,697,7,917
6,393,45,770,6,318,6,673,2,576,13,91,27,482
7,310,1,648,5,234,8,298,2,433,12,464,7,65
47,239,21,642,35,236,8,633,5,142,5,668,5,615
20,897,41,436,41,22,9,173,14,355,38,855,6,725
48,790,18,626,25,727,8,655,15,44,23,979,47,683
5,598,45,663,7,228,7,967,2,630,5,142,6,815
16,630,11,631,7,400,5,80,22,458,9,405,8,247
4,843,28,742,5,414,5,258,14,716,7,38,6,228
40,603,21,710,33,564,45,470,11,488,28,267,7,395
4,837,22,739,5,959,7,177,26,853,26,508,9,276
5,691,3,929,8,588,49,434,10,122,39,562,21,527
41,47,41,721,7,413,7,795,16,719,5,46,9,902
28,571,28,544,8,610,9,79,13,537,9,183,4,611
1,976,5,484,21,502,7,65,8,21,6,1,25,408
4,125,12,166,8,635,4,321,7,732,5,280,23,446
6,539,13,578,7,594,6,353,20,730,7,726,7,171
2,820,4,574,3,250,6,899,1,363,7,399,9,72
19,202,5,415,11,990,6,568,4,298,1,281,4,326
37,131,4,460,3,53,8,845,10,566,1,482,5,118
1,377,4,679,6,593,6,597,7,907,7,17,7,555
20,223,4,842,35,310,9,399,20,360,8,298,2,993
43,3,3,349,7,603,9,864,2,350,4,763,7,250
27,529,1,679,534,476,5,376,4,451,16,837,5,771
5,138,26,702,7,281,7,705,35,516,28,780,5,501
11,814,48,57,258,9,7,58,1,710,6,463,3,118
5,949,2,546,12,533,8,659,25,428,6,309,6,478
21,144,3,375,6,143,9,853,6,456,3,379,6,221
22,935,34,126,6,363,8,895,2,424,7,488,4,465
3,400,31,942,6,274,7,322,24,715,8,635,6,971
15,935,5,287,4,274,5,447,11,780,12,947,23,625
5,347,252,669,5,731,7,768,22,984,36,666,5,52
44,436,4,281,7,108,8,363,2,391,18,706,8,388
5,283,2,187,7,174,8,702,1,813,51,458,6,547
23,421,4,513,666,537,5,475,1,936,5,138,13,913
6,180,11,959,7,113,5,908,21,759,8,64,6,881
6,323,43,271,9,35,9,241,21,741,41,647,19,597
4,705,44,556,13,268,6,233,3,221,14,503,6,440
39,12,3,514,45,441,5,99,2,639,5,415,2,539
4,833,35,423,10,262,6,46,25,564,6,235,7,275
22,368,5,289,3,238,5,716,5,851,47,577,5,775
20,102,302,214,39,73,6,711,26,909,7,85,5,133
6,185,13,571,21,661,9,985,22,393,6,429,7,695
9,937,5,24,18,813,4,816,9,847,44,454,8,279
7,281,2,603,17,792,8,757,26,912,18,409,1,310
5,819,34,470,5,483,9,670,2,621,8,19,9,568
39,488,33,754,5,573,7,758,20,354,6,248,2,316
2,486,1,552,8,271,8,959,2,112,5,234,24,999
41,431,11,461,4,871,7,845,14,281,3,652,9,732
6,556,23,358,2,933,8,280,11,336,9,435,32,25
14,881,5,281,679,364,5,339,4,972,5,920,9,740
40,786,1,289,10,831,5,749,1,735,4,266,6,56
3,33,4,648,8,108,8,223,8,731,11,773,9,958
24,480,20,439,788,188,4,564,612,683,6,570,5,950
5,518,13,924,22,929,49,465,16,928,1,877,3,462
42,286,504,428,3,720,5,867,13,29,8,114,3,592
866,100,38,834,5,755,4,941,2,654,5,837,5,34
6,343,22,485,2,109,8,663,19,547,14,476,9,910
6,996,15,414,5,391,7,613,22,149,8,791,1,865
2,949,30,198,5,807,9,797,24,337,7,578,8,664
22,987,2,881,5,388,46,273,1,548,2,464,9,166
27,362,4,450,16,904,9,931,9,763,9,182,24,765
3,789,17,313,3,761,7,192,6,737,7,1,9,194
568,826,317,21,7,820,8,156,18,413,34,781,6,956
44,502,25,910,7,280,7,117,19,703,5,855,9,300
5,693,2,72,2,240,5,148,6,681,37,406,4,375
4,552,48,306,7,526,5,185,17,23,9,227,12,310
49,821,30,877,7,311,8,242,10,226,16,639,7,563
16,790,36,395,2,640,6,119,18,50,2,672,6,287
40,477,42,111,6,928,5,928,22,444,34,742,1,676
6,990,3,470,47,190,4,521,23,843,2,970,9,721
5,737,2,853,5,900,9,404,47,658,9,151,7,876
1,649,40,930,36,66,5,559,8,278,6,242,3,204
6,352,30,346,8,513,8,657,15,736,5,160,9,452
2,900,37,509,4,815,5,945,31,906,6,741,9,362
39,287,1,766,38,443,9,110,22,29,1,864,9,146
2,394,5,200,31,957,6,919,26,555,7,259,10,894
4,738,23,907,5,579,4,407,15,292,5,662,45,598
7,101,30,739,32,576,69,320,7,371,5,401,48,84
5,728,33,641,2,741,9,83,10,265,7,221,28,232
28,925,3,202,7,744,7,419,1,7,1,812,38,608
1,447,5,341,39,998,8,631,12,341,10,654,21,542
23,785,4,36,18,819,5,906,3,857,9,10,6,625
14,520,2,667,8,290,6,499,8,963,14,424,33,463
643,340,22,172,795,464,7,305,2,589,5,960,5,607
6,143,15,817,5,479,7,488,18,527,23,722,4,659
22,212,36,54,3,510,8,393,5,617,12,195,15,370
5,784,2,637,7,531,6,423,20,311,5,971,53,95
15,479,16,103,2,994,6,466,24,244,4,463,2,722
34,724,1,150,14,206,5,532,9,998,7,987,1,463
38,862,4,41,6,290,8,598,22,810,6,530,5,38
44,367,12,555,8,293,8,682,20,763,8,763,1,244
5,831,293,878,2,157,9,490,2,660,8,476,9,809
6,599,5,130,4,261,8,107,12,715,8,637,7,600
4,157,2,967,6,758,5,624,13,900,4,830,9,639
4,248,16,324,5,191,9,836,2,574,8,15,9,840
6,367,27,109,38,705,6,563,20,38,47,678,7,162
5,118,23,808,7,72,5,607,20,622,2,538,6,625
46,282,30,319,26,332,6,452,4,363,8,771,6,24
4,560,42,484,7,457,6,141,12,567,5,254,8,200
5,574,12,370,45,914,7,613,22,885,7,326,21,154
3,63,29,757,11,646,9,504,11,308,5,379,9,752
5,840,45,374,5,671,9,52,5,669,17,991,7,878
44,322,20,74,42,88,9,406,1,178,9,224,1,509
2,765,21,255,29,65,9,730,35,774,5,150,41,20
17,104,528,218,4,998,5,786,4,554,39,245,44,505
24,901,4,992,6,525,8,558,1,543,8,357,5,605
3,846,49,82,1,870,7,39,3,749,5,613,5,160
28,935,39,884,3,419,9,432,17,569,6,665,1,386
7,166,3,533,3,494,7,389,12,124,3,103,24,184
5,197,49,735,6,448,8,625,1,616,16,18,8,900
3,936,14,979,3,997,9,696,1,341,5,365,6,813
6,304,12,847,11,916,5,442,1,936,4,392,20,585
33,493,5,97,7,592,7,534,25,400,8,553,49,758
8,287,45,339,7,268,8,229,2,1,1,235,46,525
24,549,5,249,7,467,8,990,16,325,6,415,18,592
6,703,5,210,3,650,9,301,1,351,3,300,7,758
5,743,3,440,39,555,7,791,12,995,7,443,5,666
682,75,15,139,443,342,5,443,587,246,8,698,4,542
18,930,14,796,15,563,7,831,4,984,30,757,24,792
3,254,31,878,43,912,4,458,1,215,8,386,7,801
305,926,31,839,9,972,5,712,11,202,4,862,42,752
11,479,4,666,1,857,5,396,20,157,12,169,45,230
27,991,3,583,7,471,9,120,20,212,9,410,28,413
1,579,49,948,6,414,9,26,2,700,5,546,6,299
20,985,4,571,3,725,4,396,17,241,16,752,14,364
22,772,4,597,5,512,7,545,22,689,4,310,6,968
32,543,4,167,8,358,6,376,23,183,5,203,45,506
24,828,17,874,11,529,6,976,23,886,33,622,8,232
42,281,40,86,5,570,8,26,2,570,9,539,12,933
594,829,2,885,8,212,5,981,3,672,10,419,5,340
4,428,46,169,25,13,5,154,7,807,23,208,9,322
6,526,2,518,515,602,7,302,9,815,11,978,15,819
8,519,4,87,4,982,6,878,940,486,5,96,3,0
9,521,5,145,5,724,6,71,13,829,28,344,37,231
23,915,2,589,6,447,6,599,16,134,7,351,9,601
7,318,4,233,7,859,8,936,23,700,8,400,6,282
6,198,27,395,2,417,9,710,25,425,2,753,2,285
15,33,3,499,6,925,7,95,48,566,18,898,9,334
37,882,5,157,799,99,4,480,14,548,10,614,8,377
34,563,2,197,8,368,7,780,18,989,29,729,24,473
7,206,18,544,7,586,6,235,15,566,3,655,6,973
2,143,18,486,8,619,7,718,18,348,14,470,5,49
25,354,5,322,36,528,45,529,6,730,44,854,1,424
2,154,5,504,5,694,4,478,2,652,6,918,6,30
44,350,4,2,7,851,9,805,4,491,5,296,7,131
32,633,2,577,10,643,6,331,3,634,3,802,4,535
20,169,42,198,5,493,6,267,13,168,15,507,24,130
3,951,22,101,6,749,6,491,21,405,9,39,8,99
36,42,15,793,44,516,4,457,24,353,21,694,9,583
31,897,5,202,7,336,5,597,2,359,6,632,6,345
5,727,3,995,3,612,5,696,10,591,4,388,8,705
45,664,3,647,9,756,5,297,12,907,4,107,12,107
2,727,3,964,32,768,7,315,37,798,2,988,9,638
26,322,2,471,6,940,7,172,38,739,3,826,44,73
43,299,4,789,2,442,7,178,7,765,5,554,7,355
13,296,3,650,8,153,7,958,17,385,4,36,4,416
45,774,3,292,11,536,9,975,18,516,49,587,5,524
6,878,3,634,31,667,5,446,16,217,6,575,7,52
5,127,5,504,1,289,6,858,13,103,4,1,5,755
2,956,19,843,7,205,9,223,9,286,4,468,14,530
3,862,34,548,4,601,8,481,4,385,7,549,18,884
2,651,16,444,4,305,9,120,1,315,8,515,9,879
5,581,196,634,7,356,7,479,13,105,23,283,6,312
5,613,49,598,736,257,6,407,15,948,8,701,8,457
47,682,4,538,5,871,5,336,22,387,4,169,7,758
6,766,5,434,3,338,8,838,5,740,7,489,7,64
8,251,2,376,1,205,7,803,11,229,5,849,5,557
20,300,3,32,2,116,5,628,2,161,5,248,10,911
4,317,11,977,4,588,7,950,4,117,8,850,7,273
