main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
6,9,9,336,6,553,20,138,24,895,40,668,5,813
6,52,4,554,28,650,4,886,18,973,32,447,23,427
6,360,17,258,5,929,30,830,14,154,21,855,42,948
5,917,1,602,70,370,44,844,38,254,9,496,5,238
6,855,9,191,6,46,14,38,37,444,3,296,6,726
6,552,26,83,5,237,45,432,3,669,7,976,3,794
6,958,1,735,6,744,13,789,2,652,3,344,7,409
5,586,24,698,6,822,29,542,3,49,31,373,6,13
5,632,29,828,7,97,4,111,4,303,26,211,37,492
5,476,1,366,2,313,17,669,16,793,7,175,2,923
6,643,13,473,1,818,38,62,3,319,7,12,9,41
6,839,17,469,17,18,3,728,14,291,5,136,25,848
6,424,55,125,2,569,2,193,14,642,7,80,2,76
5,73,30,958,6,743,3,292,4,214,9,792,29,738
5,74,18,469,4,733,3,295,2,893,9,260,6,302
6,354,52,702,4,553,32,472,14,545,36,733,5,207
6,126,23,623,6,794,36,941,4,466,8,549,2,644
6,766,6,819,21,551,3,774,37,580,5,545,8,78
5,828,9,567,2,970,3,586,40,174,5,352,9,967
5,715,11,759,1,804,3,494,4,303,5,754,8,351
5,433,2,916,6,44,9,114,7,504,5,15,1,479
6,401,15,828,4,760,2,232,35,613,6,376,6,387
6,826,18,815,589,429,44,53,24,430,7,977,15,612
614,825,21,371,5,472,5,71,6,614,7,683,9,826
5,255,7,484,4,357,17,650,26,31,8,630,7,730
6,183,26,782,2,666,13,789,58,816,49,812,8,406
6,125,1,976,6,176,45,935,6,206,6,605,8,343
6,664,28,545,5,275,6,580,7,654,6,741,6,868
6,1,2,821,4,397,1,735,386,448,5,765,7,583
6,642,5,640,2,734,35,635,16,20,8,154,4,578
5,767,2,476,5,826,3,956,45,124,7,818,6,845
504,990,5,154,3,996,4,936,2,848,3,163,7,647
6,845,26,517,6,413,28,67,2,840,2,793,4,946
5,574,3,111,36,349,5,94,16,529,9,417,27,168
677,254,2,308,3,4,10,354,2,804,3,934,2,792
6,974,25,293,6,340,5,205,40,19,8,641,9,191
5,339,29,603,20,909,35,487,7,132,3,588,7,659
6,111,22,700,23,158,44,916,31,708,2,678,9,535
533,398,11,788,40,121,2,379,2,137,2,677,6,888
5,32,17,184,21,324,4,279,25,992,27,770,9,335
687,671,20,926,5,958,24,548,4,400,6,596,7,526
5,337,62,305,22,637,2,516,3,914,14,927,7,332
6,907,3,312,5,79,3,334,2,361,40,634,19,127
6,272,13,452,23,723,23,837,8,94,5,492,9,289
5,221,18,827,2,948,35,522,9,786,15,428,18,52
6,780,12,29,6,899,36,954,21,74,3,472,38,42
5,757,18,370,2,193,21,906,24,63,2,562,26,820
5,813,21,854,11,527,10,708,3,67,9,751,6,953
6,62,18,979,42,5,7,174,17,818,8,757,5,619
662,781,22,5,16,981,1,717,39,128,25,480,9,735
6,416,1,848,31,604,41,104,16,636,27,907,25,625
5,589,6,32,5,844,2,716,3,209,5,251,7,529
5,484,2,116,22,203,24,395,3,211,8,376,2,758
6,4,8,392,3,866,17,772,24,830,5,467,6,28
5,124,2,445,7,458,20,205,18,987,14,788,7,736
6,847,30,557,6,714,18,969,3,429,20,938,45,761
6,448,11,990,7,239,39,949,37,636,7,463,9,674
6,243,3,132,4,162,5,636,3,263,9,661,2,301
5,483,1,827,5,555,3,587,43,347,9,619,5,749
5,625,112,685,32,132,42,305,4,465,5,892,7,66
5,654,22,397,10,640,8,23,16,730,30,495,6,136
560,58,2,323,3,608,40,723,21,368,5,853,49,709
6,200,17,243,5,435,3,623,6,134,3,771,29,620
6,978,304,112,6,131,2,914,40,755,22,345,26,791
6,737,2,883,3,317,8,800,4,369,4,219,5,788
666,520,18,427,7,135,3,785,40,212,4,87,7,381
5,918,3,306,635,203,2,824,1,932,2,723,17,853
5,666,15,747,29,643,3,528,1,664,8,754,8,795
6,755,25,223,22,173,42,532,2,530,4,738,8,72
5,132,6,98,39,882,1,81,149,724,31,464,9,412
6,431,13,500,7,179,36,981,39,167,3,93,10,98
6,813,10,629,38,530,17,213,3,150,6,212,8,629
6,830,10,803,4,820,3,54,39,45,4,105,17,562
5,769,29,708,17,731,9,69,434,202,1,188,9,61
6,234,719,91,3,886,5,657,18,340,3,396,6,12
5,817,25,839,23,773,20,189,2,133,6,205,3,515
6,130,1,180,2,545,10,332,24,486,9,414,4,464
4,999,515,946,6,928,3,323,17,548,5,447,6,567
6,797,15,250,1,817,5,392,3,540,4,736,7,975
6,201,8,337,5,773,2,619,14,732,8,584,15,789
6,568,33,39,36,905,19,513,4,251,5,679,21,918
5,194,1,447,6,406,5,406,24,606,6,955,5,361
5,292,853,647,6,560,2,387,6,759,33,764,37,260
593,508,33,276,25,641,5,25,16,377,20,0,4,15
5,516,11,432,7,41,30,853,4,399,13,686,6,837
5,337,3,432,1,882,7,683,3,674,6,922,6,57
5,54,1,963,4,79,5,698,32,524,45,978,9,544
5,217,3,18,7,591,19,673,4,346,9,597,2,785
6,755,22,87,3,458,5,139,7,908,12,779,15,948
6,351,5,92,2,417,1,634,8,749,8,258,32,582
5,389,17,375,46,780,31,323,41,406,1,691,7,865
6,281,16,930,14,44,22,493,627,616,5,881,14,802
5,638,28,403,685,227,44,927,3,654,6,842,6,501
6,971,20,332,36,789,32,899,1,702,10,450,22,541
6,404,1,309,6,765,27,440,2,524,9,719,6,216
5,348,11,536,1,306,4,254,37,696,29,325,9,23
6,408,12,643,22,868,5,545,4,53,10,809,10,125
5,740,25,640,554,491,31,994,39,381,8,35,9,886
5,67,28,877,457,206,1,134,31,591,5,856,8,575
6,40,2,710,294,710,43,243,4,540,40,731,3,879
6,258,12,483,5,209,21,260,38,702,3,973,4,160
5,509,765,841,1,444,1,718,409,776,6,83,9,677
595,482,18,424,39,802,2,940,24,22,7,412,5,481
5,206,1,104,6,461,5,103,1,569,9,446,9,312
5,68,19,464,6,246,3,530,28,636,44,103,9,207
5,23,9,856,5,287,64,809,20,449,40,618,16,914
6,730,6,30,48,718,2,768,15,769,9,714,8,33
5,963,13,121,5,385,12,816,3,514,29,13,7,934
6,987,4,612,23,867,5,615,3,59,6,6,5,914
6,665,15,463,5,638,23,503,4,381,5,261,7,832
507,384,2,743,4,474,9,267,1,48,8,338,8,114
5,503,23,299,5,60,31,873,2,985,6,804,4,293
6,78,3,166,5,54,17,140,41,920,3,319,8,40
5,490,15,429,15,200,5,186,16,568,6,989,37,267
6,382,2,686,1,581,18,82,28,354,8,319,2,853
6,492,5,552,3,414,5,694,329,704,2,717,7,658
668,300,28,374,47,255,16,535,7,239,27,716,20,107
5,795,51,425,6,198,1,642,11,723,3,388,1,332
6,307,0,0,35,759,38,102,37,950,7,274,3,100
5,536,54,47,717,717,4,976,3,339,2,305,5,929
5,260,303,793,4,947,4,471,37,564,6,905,1,525
5,321,2,452,3,276,9,234,17,473,23,672,9,146
6,409,3,289,6,837,87,87,39,235,7,542,2,126
5,29,2,117,6,917,10,741,43,579,4,709,6,104
5,335,7,124,46,922,13,192,3,678,3,253,8,139
6,196,22,888,7,83,5,240,39,787,35,857,46,308
5,339,25,679,6,673,9,958,19,516,9,291,18,565
6,120,21,378,650,944,4,122,4,471,5,463,32,746
5,469,4,726,3,605,3,27,2,989,2,613,6,978
5,932,10,137,35,627,15,197,4,213,9,678,1,616
5,249,7,108,5,663,4,391,21,390,17,422,6,412
6,61,26,842,16,842,17,409,25,873,1,422,1,688
624,87,23,784,894,935,31,404,10,870,35,74,5,727
5,918,2,508,7,230,33,567,2,738,5,72,5,193
5,235,56,237,3,924,30,509,23,291,27,580,42,628
6,23,18,636,43,61,3,652,35,825,7,20,44,793
5,547,1,23,37,883,2,705,31,197,5,646,6,388
6,549,2,899,430,999,2,477,4,118,2,396,6,907
5,250,2,886,5,333,39,876,11,1,19,427,8,295
690,282,20,830,5,246,38,625,254,739,7,508,1,923
5,354,29,369,4,102,13,304,1,20,8,106,6,346
6,919,10,702,20,976,4,51,3,968,48,453,30,445
6,254,1,682,17,239,19,49,1,521,7,939,8,669
5,271,324,582,12,983,5,555,13,896,4,535,7,848
5,317,9,548,7,506,20,316,45,266,8,834,7,367
6,150,27,93,5,284,37,103,1,445,12,578,19,312
6,543,3,69,675,8,8,127,6,722,8,28,52,449
5,297,19,443,12,629,10,134,426,222,8,626,8,159
6,534,21,700,6,880,222,289,30,716,7,18,7,995
5,184,2,105,5,166,14,988,2,332,3,715,7,505
6,211,21,620,5,923,3,868,2,3,6,312,6,562
6,519,11,834,3,795,14,326,32,465,6,469,3,337
5,437,2,623,6,74,12,613,10,42,9,265,35,654
5,866,5,726,42,8,11,991,42,939,6,778,7,846
6,435,1,641,2,84,2,26,13,575,9,123,4,831
6,212,92,634,2,767,23,541,35,828,3,594,9,941
6,314,26,421,5,158,30,124,2,202,6,831,34,398
6,973,18,412,6,55,5,621,18,334,4,566,4,937
5,400,29,803,2,412,1,408,43,956,9,573,6,278
5,713,28,991,4,800,4,846,6,529,12,497,29,415
6,492,2,530,2,866,6,772,5,286,41,385,12,267
6,641,25,926,3,435,27,240,17,335,51,435,5,82
5,0,28,948,3,428,4,3,37,211,4,698,23,888
5,697,2,686,49,765,30,552,32,961,5,773,8,365
6,616,1,764,2,653,5,294,9,229,5,436,7,824
570,127,9,754,6,853,11,671,20,217,2,556,10,817
5,984,24,854,6,999,8,112,41,629,9,945,9,388
5,862,25,930,329,934,2,519,40,566,44,321,9,470
6,504,3,124,41,823,4,55,770,424,6,366,9,584
5,924,4,433,1,592,2,44,2,716,18,747,14,633
6,334,1,889,12,87,10,528,2,883,3,66,9,592
6,91,28,691,34,274,4,785,11,466,9,726,10,513
6,928,12,578,5,427,24,731,45,4,8,581,8,613
5,527,14,672,6,339,8,807,15,325,7,871,7,352
6,388,10,452,4,181,4,959,10,758,8,53,17,862
6,735,21,695,40,610,18,461,2,172,6,493,8,832
6,130,9,31,457,163,38,244,22,606,33,167,10,494
6,516,10,375,43,712,39,755,16,197,36,627,26,213
5,23,1,875,5,450,4,40,3,175,8,613,8,173
6,560,2,843,2,829,42,636,3,375,9,203,18,482
5,144,12,787,7,87,10,373,35,359,8,563,28,475
6,897,2,159,6,983,3,19,3,751,41,726,22,154
6,728,11,941,7,301,39,209,37,831,7,240,4,494
5,533,42,406,48,57,49,620,21,972,31,103,4,918
6,957,23,243,5,191,10,535,382,996,3,562,3,618
6,506,13,9,5,680,1,926,9,638,41,774,11,739
5,118,18,716,11,2,2,302,7,783,7,436,7,17
5,93,17,432,592,851,1,819,19,555,9,888,2,788
5,955,31,45,1,942,12,655,8,97,6,805,15,682
5,57,53,922,27,525,26,867,2,626,7,359,43,113
6,496,3,48,6,936,4,51,3,190,30,461,29,422
6,606,9,51,130,521,160,598,18,396,16,691,8,43
6,83,23,486,12,694,14,368,5,730,7,164,9,759
6,976,32,281,155,299,8,652,25,891,23,817,5,392
5,975,28,193,8,783,9,48,15,479,2,780,7,993
5,487,23,196,68,612,5,417,2,218,6,180,3,287
5,628,18,917,6,87,3,630,5,236,5,53,8,402
6,705,9,985,20,858,3,732,40,457,8,640,31,244
5,281,8,808,668,559,3,584,19,351,22,705,3,167
5,142,21,756,7,674,6,496,45,311,7,288,9,232
6,204,8,267,19,874,3,378,20,985,7,36,10,36
6,223,36,906,13,335,3,540,22,631,20,577,9,632
6,295,9,451,5,399,5,173,31,663,8,274,9,771
6,39,303,513,2,341,4,840,1,727,3,967,8,864
5,56,28,943,1,215,49,576,15,333,5,690,7,855
5,323,305,305,5,880,259,863,3,804,9,513,43,875
6,962,18,890,66,334,5,14,4,510,3,537,4,27
6,870,9,781,6,88,1,475,6,258,6,452,3,79
5,605,3,7,19,310,39,65,27,672,2,456,7,685
6,131,1,528,1,82,3,180,24,394,33,409,5,907
565,338,11,118,603,989,12,128,235,612,23,496,9,497
6,140,11,525,33,407,19,364,8,825,17,42,7,480
5,509,19,373,21,918,5,528,15,39,35,476,9,200
6,40,11,612,10,248,5,493,14,296,2,796,9,85
6,90,3,135,2,198,28,165,3,412,25,350,75,864
5,263,3,12,1,739,22,839,9,545,12,902,7,584
5,225,29,53,3,265,47,509,33,158,6,968,8,840
5,761,1,965,5,293,44,527,2,376,5,982,29,658
6,734,186,177,11,352,5,357,12,531,8,728,6,841
6,396,3,591,5,485,49,119,11,633,1,150,14,609
4,998,1,443,20,76,37,144,4,409,7,597,21,57
6,163,7,686,2,883,5,391,21,750,8,767,10,724
6,711,1,17,6,236,14,784,2,916,7,521,8,541
5,48,2,278,3,50,12,319,3,791,5,525,8,910
5,845,5,92,5,554,5,379,9,53,4,442,7,952
6,220,2,916,3,125,4,120,22,333,8,22,17,302
5,68,9,50,2,869,11,727,2,285,2,607,27,448
5,492,1,765,1,745,8,544,38,322,38,68,9,191
5,204,324,948,2,606,41,838,1,282,4,643,7,144
6,287,12,693,17,382,5,674,2,992,9,543,5,216
6,169,2,965,446,179,12,473,14,976,2,650,5,990
5,844,28,867,235,147,55,970,31,794,16,955,2,857
6,527,1,44,7,298,2,585,1,266,7,660,52,702
5,664,1,988,5,860,5,33,2,58,12,454,31,970
6,778,1,137,6,578,1,631,24,618,8,959,17,662
576,773,11,312,2,745,2,481,8,689,26,82,8,613
5,902,20,843,5,502,2,447,1,805,3,142,18,174
687,51,1,708,5,7,25,497,14,1,8,109,20,36
5,576,24,845,5,1,5,4,3,746,7,583,9,146
6,684,18,357,5,196,29,454,18,436,17,286,3,803
6,253,3,2,27,207,25,43,13,383,2,429,2,862
5,521,15,690,5,759,3,783,3,527,49,581,7,245
6,218,12,380,14,868,35,554,1,905,62,380,2,548
6,185,26,382,5,458,4,284,9,119,8,983,4,86
5,127,9,726,12,906,16,969,38,709,31,993,47,327
5,649,2,842,6,138,7,791,38,315,18,243,6,734
5,352,28,612,34,775,37,764,2,994,5,888,7,609
6,189,12,349,28,435,5,510,6,815,40,497,5,587
6,285,15,166,17,873,24,310,2,578,2,183,3,475
6,196,16,332,9,866,23,710,4,100,37,546,6,106
5,530,29,158,550,817,27,300,1,699,34,895,3,860
6,133,1,889,597,861,29,942,2,282,5,598,3,932
6,891,391,885,18,903,44,445,39,242,5,997,3,855
5,977,3,636,4,998,26,893,9,366,7,382,8,881
5,968,31,216,7,762,4,75,2,633,8,872,39,640
6,285,132,815,4,700,2,818,16,174,5,883,1,557
6,245,1,247,2,635,49,704,3,727,16,907,6,589
533,976,273,987,5,221,4,809,41,349,2,365,9,75
5,952,25,847,642,957,25,168,10,133,9,816,5,62
6,601,31,966,4,382,19,181,42,678,6,623,6,18
5,397,5,962,6,898,2,861,3,914,6,685,7,232
5,805,2,343,3,371,7,282,16,355,24,667,3,19
653,372,18,964,5,541,9,21,13,65,8,408,6,964
504,212,8,994,2,535,45,536,13,410,9,316,9,301
6,112,2,568,9,537,0,0,2,800,21,558,8,700
5,170,21,476,8,783,3,697,33,198,4,409,9,402
5,442,30,199,1,322,15,444,34,997,7,345,7,381
5,723,44,248,35,640,16,497,4,409,5,86,8,561
5,970,27,73,3,238,9,18,19,428,43,949,3,30
6,780,331,518,1,388,35,331,3,820,26,158,9,204
6,162,16,71,6,942,9,44,4,446,9,766,26,740
5,965,18,125,2,824,6,687,3,442,23,748,39,653
5,940,15,912,5,726,5,474,25,890,2,530,9,750
6,241,13,652,6,653,21,719,4,425,17,889,8,671
6,159,23,163,522,106,2,638,388,976,4,302,41,390
583,981,41,880,6,368,1,590,4,497,9,20,7,497
547,314,6,143,6,577,4,905,12,340,4,123,5,526
603,820,15,225,6,997,10,51,4,290,9,868,59,390
5,245,2,912,6,456,2,115,2,363,33,357,9,864
5,610,7,581,7,28,6,348,3,278,5,105,7,309
6,325,19,961,2,586,3,523,1,316,14,849,22,300
6,288,2,701,7,137,2,345,21,302,3,707,48,820
5,600,32,578,41,312,21,637,2,607,16,389,5,794
5,479,14,996,6,701,3,53,13,46,7,776,21,705
6,508,2,102,6,935,9,102,1,67,3,589,7,665
5,377,9,159,1,922,2,76,23,232,4,41,4,318
6,861,13,36,7,925,10,887,2,384,6,525,9,86
6,854,24,886,9,784,58,400,15,235,30,201,7,850
5,718,1,376,2,584,37,647,1,711,17,222,2,602
5,586,13,782,18,299,45,170,26,828,4,430,8,59
5,102,293,635,886,167,5,124,67,834,13,755,4,755
5,992,15,459,25,585,2,925,3,737,6,591,7,957
6,842,24,354,4,155,61,689,3,645,3,135,17,868
687,124,9,368,3,971,3,549,35,274,23,101,22,539
5,382,25,520,4,198,45,209,5,268,33,224,14,546
5,960,2,946,4,41,22,852,35,452,9,92,6,518
5,872,2,128,2,552,32,444,9,509,1,828,5,318
5,433,6,318,5,611,3,823,4,82,9,604,5,637
5,974,25,905,47,320,20,24,27,766,8,949,40,872
5,382,10,651,2,151,27,635,16,241,7,817,28,56
5,858,6,638,5,374,14,624,3,268,38,344,56,860
6,91,4,595,6,380,50,279,1,872,7,196,2,970
6,169,22,469,17,893,23,128,32,587,4,357,59,825
6,169,15,191,27,659,33,306,2,251,61,538,9,18
5,26,4,457,8,372,3,554,2,995,1,901,9,884
6,629,3,23,718,35,3,689,60,94,3,81,8,621
5,640,31,848,431,689,5,643,2,703,4,60,8,670
6,43,3,221,6,308,27,354,1,448,42,360,8,638
5,5,25,54,28,961,2,903,33,467,4,162,3,451
6,218,56,179,7,120,45,375,42,454,7,397,48,671
5,152,18,588,6,36,23,240,4,459,7,32,4,938
6,638,4,52,3,736,4,922,10,31,5,909,5,298
6,254,41,825,37,444,1,885,7,614,6,794,11,199
5,254,1,315,39,216,2,546,2,765,5,781,3,498
5,251,19,530,5,422,13,12,23,657,7,172,2,752
6,396,9,601,9,983,8,516,3,307,1,329,48,345
6,410,31,585,6,564,4,918,7,949,9,735,5,254
5,73,2,869,45,986,22,418,31,220,6,655,20,999
6,472,2,263,40,764,2,456,7,812,22,674,6,883
6,231,2,7,36,229,2,789,11,884,3,232,5,265
6,63,2,845,7,125,4,984,6,823,5,454,2,496
5,986,19,795,6,70,47,320,39,312,5,226,40,410
5,813,2,33,49,743,25,294,34,744,5,963,6,406
6,579,7,352,5,683,23,45,18,996,5,852,2,115
6,518,27,664,3,491,11,879,3,300,22,319,7,575
6,106,29,462,4,235,17,435,11,782,9,925,29,735
6,492,7,466,41,759,40,744,33,835,8,983,25,331
5,371,4,386,7,330,3,183,31,607,7,806,10,174
6,575,48,264,4,567,1,825,37,323,4,614,9,49
5,926,13,180,6,865,11,639,3,868,8,483,3,206
5,590,56,182,1,780,13,7,14,772,17,822,5,592
6,952,12,208,29,80,9,114,27,602,7,176,6,515
6,512,11,430,6,776,4,555,20,546,4,344,4,88
6,893,18,166,1,579,5,691,2,242,5,671,45,427
6,2,24,299,40,143,45,647,131,323,16,992,6,839
5,164,4,259,13,743,3,338,14,774,26,412,9,917
5,961,4,447,3,90,5,896,38,294,19,238,8,271
6,443,12,540,2,976,42,790,8,670,3,667,4,676
6,319,5,898,34,496,46,216,23,951,6,27,3,219
6,637,24,625,6,393,27,90,13,585,2,811,9,44
6,143,18,238,8,240,4,899,685,77,3,206,5,386
5,919,24,756,11,202,21,835,37,48,7,68,50,758
6,334,2,566,1,340,8,222,40,237,9,774,7,460
6,790,4,178,6,934,47,54,23,696,1,924,5,560
6,793,877,196,6,216,4,681,3,499,2,591,7,87
6,996,9,505,3,933,38,810,25,817,3,827,5,314
5,287,4,537,46,574,5,496,6,576,7,899,8,997
5,621,3,165,34,383,2,731,46,38,9,830,5,698
6,754,22,565,28,726,4,766,4,432,35,419,7,482
591,188,19,912,39,902,3,881,634,715,5,77,8,749
5,68,2,390,2,467,2,550,9,730,28,838,7,573
5,11,3,968,6,720,35,316,22,405,9,100,7,555
6,54,2,974,7,266,3,333,32,719,5,19,6,979
6,573,31,536,3,437,36,3,1,292,3,657,3,823
610,289,249,288,3,50,42,826,9,739,9,650,5,4
6,508,16,894,43,24,3,736,3,801,5,39,38,257
4,998,14,330,6,537,11,798,31,459,33,592,5,621
565,729,32,430,18,741,36,228,346,62,4,478,5,990
69,200,24,264,2,935,33,723,3,403,8,360,6,759
5,727,2,556,6,61,15,78,3,758,9,103,5,150
5,444,6,686,38,353,5,216,36,614,3,847,9,772
5,905,17,495,5,695,2,470,7,866,22,199,5,722
5,377,3,108,3,743,266,292,23,383,38,677,9,67
5,785,9,715,36,142,35,975,25,276,20,600,4,545
5,806,502,612,64,673,34,888,7,952,7,969,2,741
5,882,2,441,226,241,23,734,31,336,9,799,5,675
5,779,7,93,17,888,43,95,19,820,6,238,33,210
6,677,13,155,43,528,17,178,32,567,5,908,9,137
611,658,12,787,5,189,2,977,17,403,7,662,15,318
5,476,15,5,5,316,21,854,23,249,9,583,7,203
631,12,1,506,7,218,9,184,34,857,35,784,2,535
6,765,11,238,6,304,5,187,3,579,9,153,8,671
5,993,3,287,6,658,9,280,44,673,23,943,4,635
5,506,14,41,49,304,2,457,8,485,4,753,5,430
6,217,6,661,25,447,20,437,36,777,2,915,7,398
6,98,18,299,2,512,1,69,39,134,4,350,22,988
6,543,10,745,16,493,15,869,4,168,9,813,5,824
5,842,23,515,40,212,32,258,11,14,6,348,39,713
5,948,28,489,2,498,18,98,13,261,11,102,3,243
5,354,30,689,2,19,35,280,4,426,36,952,31,483
5,107,29,556,24,237,38,551,27,572,2,39,4,52
6,703,19,499,5,137,5,302,353,358,8,637,40,838
6,430,8,917,5,43,17,13,26,301,4,679,7,498
542,857,23,566,3,660,3,626,49,664,8,384,19,275
642,202,44,265,16,637,2,826,15,615,7,734,3,802
5,307,2,45,6,800,5,358,1,696,4,779,49,512
6,665,21,549,6,579,33,740,44,102,7,891,8,900
5,549,1,455,6,892,5,611,2,572,2,879,9,218
6,659,12,579,6,347,6,239,5,669,3,481,9,736
6,858,24,634,19,80,2,440,611,588,42,438,5,586
6,198,909,768,6,547,48,510,4,1,9,812,5,268
6,617,73,721,6,34,37,731,11,907,24,356,9,386
6,597,22,645,2,583,17,795,16,804,5,770,9,154
6,554,8,682,2,413,4,723,3,719,3,204,4,659
5,370,2,770,4,473,40,936,8,78,7,107,9,109
5,476,14,797,8,276,5,612,219,196,32,238,24,839
5,918,14,670,5,691,9,902,18,596,12,141,7,87
6,494,19,192,7,15,2,578,1,934,3,977,14,855
5,440,23,802,15,727,2,122,26,17,25,850,5,962
6,399,3,575,4,315,13,927,2,827,39,965,7,347
6,921,2,819,11,506,4,414,21,64,8,577,22,16
