main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
8,469,5,35,8,872,26,727,44,819,6,655,6,978
9,764,3,965,63,617,18,160,2,568,4,266,6,3
9,451,2,745,8,785,42,680,15,432,6,247,8,668
9,412,7,186,3,794,6,655,13,283,6,444,35,747
8,734,5,5,42,387,2,807,20,978,20,800,9,186
9,889,8,630,8,646,3,572,62,131,28,337,40,136
8,713,33,708,26,619,9,291,32,353,6,97,4,168
9,463,11,338,5,740,2,238,2,656,5,97,28,898
949,704,9,599,6,772,43,156,7,483,8,174,21,361
8,756,6,314,5,198,2,890,22,470,3,983,5,865
9,560,6,44,9,832,3,598,21,900,8,286,22,0
8,588,22,388,8,404,31,11,9,924,7,336,9,639
9,959,4,809,24,3,47,358,6,232,5,543,29,202
8,486,9,806,5,313,14,822,13,739,8,131,3,210
9,280,46,124,912,736,3,8,3,29,7,227,5,192
9,273,7,732,5,692,35,957,15,847,26,367,3,897
7,509,7,78,8,132,3,55,10,881,34,917,5,718
8,842,7,115,8,385,13,546,23,452,7,849,5,730
8,984,7,395,1,263,36,230,10,253,25,557,7,457
9,91,6,247,643,62,3,296,1,942,9,9,18,727
8,64,8,190,8,256,2,446,3,274,30,961,3,837
985,430,2,536,6,552,4,110,21,226,6,311,3,329
8,289,7,487,7,55,8,862,2,617,9,62,5,839
8,576,7,747,5,719,2,245,3,46,6,743,5,714
9,834,929,463,499,254,5,416,29,889,5,202,5,768
9,706,6,196,776,70,15,751,29,540,8,308,3,485
8,917,6,962,12,110,1,957,901,348,8,713,6,17
9,540,9,795,6,655,22,742,3,318,8,266,22,156
9,112,5,938,4,500,5,288,2,187,17,455,5,667
7,625,6,528,6,701,222,209,23,839,13,780,7,269
8,919,46,937,925,843,20,908,12,362,32,991,37,530
9,377,4,618,5,357,3,25,3,50,9,512,6,326
9,695,8,294,20,130,17,759,21,985,12,487,8,623
8,315,6,64,4,340,26,41,843,776,9,787,7,911
847,22,6,475,8,882,5,69,3,575,46,621,7,134
8,52,8,258,5,451,25,517,23,313,40,823,8,432
9,537,5,608,35,557,1,570,6,116,2,834,33,354
756,169,3,353,9,30,5,573,52,343,20,161,6,540
8,872,7,951,7,318,3,164,28,320,7,13,5,908
9,830,9,738,6,115,1,602,10,538,56,679,3,986
9,80,671,380,510,174,5,96,21,244,3,221,4,89
8,439,8,948,7,595,4,341,14,700,5,642,70,850
9,620,32,205,5,327,4,11,10,219,5,561,8,615
8,191,8,950,464,705,41,748,2,374,7,548,34,455
7,887,7,622,10,251,4,571,3,202,17,973,6,797
7,656,2,988,8,978,253,955,7,436,5,698,9,772
8,193,5,586,2,969,4,667,35,435,8,338,8,949
7,588,868,710,8,189,3,66,4,661,6,858,3,325
8,803,15,290,17,231,34,636,30,904,6,48,6,685
8,313,5,64,6,476,4,918,2,743,6,470,9,868
9,494,8,480,14,882,3,827,7,751,21,425,22,238
9,114,32,41,14,803,7,230,2,411,31,602,10,487
765,530,3,671,6,198,23,475,1,334,7,978,18,936
8,451,41,844,38,80,3,356,1,735,7,228,14,215
7,786,7,823,8,906,16,301,2,517,2,758,7,446
9,680,8,182,3,847,12,27,28,448,3,472,8,922
8,745,9,211,2,125,20,452,6,143,6,757,7,393
9,862,3,275,7,372,43,248,11,985,7,225,18,100
8,79,7,876,8,871,4,50,17,812,29,111,43,551
908,790,12,367,5,221,2,257,14,2,6,778,35,550
9,754,17,731,3,386,47,355,34,492,8,228,25,680
849,384,8,849,9,827,1,757,14,567,16,690,7,457
7,752,27,727,1,312,31,156,4,10,27,322,13,136
9,556,3,861,31,961,5,57,4,686,6,595,3,774
8,22,9,213,33,788,4,815,32,148,5,462,1,513
9,69,7,576,2,949,41,297,17,587,6,928,8,294
7,688,5,385,8,328,23,631,7,889,9,412,3,40
9,889,21,212,2,576,38,834,8,519,3,584,7,652
8,858,9,826,8,766,3,463,6,771,7,989,10,936
8,734,9,125,6,34,3,623,2,509,9,158,21,530
938,670,8,822,5,256,3,911,22,656,8,944,9,220
9,430,6,27,9,407,5,332,15,270,2,380,11,783
8,269,19,378,7,214,11,781,28,180,5,606,6,817
8,290,3,291,9,155,40,870,1,836,3,17,7,837
9,256,6,114,29,546,4,523,2,587,39,208,7,561
875,851,5,104,7,651,3,891,30,169,7,794,42,514
8,944,6,364,8,798,22,169,2,987,5,629,8,884
9,370,5,152,31,529,31,643,18,811,4,244,3,783
9,424,8,366,8,645,5,422,3,346,2,605,4,623
8,861,5,503,43,379,2,671,2,402,1,784,1,471
7,848,8,0,8,297,17,179,11,835,8,769,4,961
7,754,5,98,6,726,2,111,855,251,2,129,8,442
9,182,22,394,22,655,3,924,3,334,6,480,8,151
9,842,28,973,9,502,2,974,2,516,8,166,2,619
918,197,7,516,9,762,36,899,19,26,7,458,5,91
8,665,4,525,6,800,9,997,1,43,1,124,21,705
8,65,1,416,2,927,17,438,5,438,4,56,35,463
795,419,16,979,44,844,4,48,17,836,7,229,2,657
9,423,2,862,486,115,19,196,3,251,5,900,4,289
8,366,1,387,5,898,7,917,18,626,18,901,30,277
9,167,5,692,5,0,14,853,13,62,28,335,36,413
8,239,7,423,6,797,5,619,19,626,21,403,39,146
8,44,9,743,26,926,27,984,2,12,25,504,6,911
8,845,44,362,15,196,17,412,32,458,18,546,5,491
8,799,727,752,6,379,9,862,30,475,7,398,9,602
8,817,9,412,3,528,14,590,17,180,5,427,37,287
9,487,4,229,1,74,2,446,29,451,13,436,11,780
9,300,8,517,7,401,20,79,21,321,6,784,7,468
9,507,5,883,698,931,20,282,152,914,2,881,3,783
9,554,7,513,6,719,38,282,1,269,6,346,24,135
9,738,3,811,9,482,4,123,806,307,9,153,25,830
873,129,37,436,8,713,48,564,5,616,7,17,7,163
8,19,6,727,5,467,18,575,3,19,32,246,8,339
8,422,3,498,5,337,1,505,5,757,4,186,8,213
9,445,45,624,5,960,5,652,19,638,30,871,9,680
9,910,689,691,29,80,26,749,18,348,3,184,43,265
8,724,17,407,6,530,2,414,10,30,5,721,36,703
880,16,5,812,6,727,25,453,7,115,4,8,7,666
8,600,9,316,15,952,23,707,16,440,8,379,32,984
7,697,33,517,1,884,3,582,3,565,4,199,23,906
9,255,4,71,7,440,166,13,24,57,9,931,29,539
9,307,16,119,6,304,2,734,2,808,4,113,4,187
9,702,7,543,23,413,3,839,2,545,60,926,15,973
7,709,6,412,9,141,25,448,22,153,7,568,9,109
7,840,345,446,15,138,45,606,19,683,31,852,4,431
7,613,7,264,18,613,5,680,2,940,14,868,6,300
9,854,5,669,5,24,2,539,9,483,6,171,6,862
8,277,6,43,9,734,4,286,14,343,4,309,3,456
8,942,6,539,945,938,39,165,12,898,6,591,8,458
8,730,18,71,9,928,29,430,2,583,8,194,6,823
9,169,7,309,7,6,29,940,22,89,7,829,2,493
8,888,8,181,11,694,53,283,7,487,10,158,5,12
9,676,27,347,8,837,13,524,11,869,38,587,4,876
7,968,7,60,16,218,4,580,2,328,4,672,9,665
827,899,9,436,4,472,16,721,316,121,6,32,4,108
8,852,18,63,15,446,46,952,6,780,5,800,5,868
969,797,3,962,8,110,32,324,3,901,15,999,10,992
943,507,3,389,9,831,4,345,3,87,4,56,49,588
8,860,44,332,4,510,28,838,7,19,9,970,3,961
8,930,4,937,6,168,31,281,2,883,6,406,10,251
865,661,9,34,2,208,23,68,3,154,12,33,20,11
9,495,32,150,7,599,19,87,26,138,8,340,48,579
9,566,788,535,9,488,4,493,16,5,49,651,5,51
7,592,274,961,731,379,47,604,29,596,2,369,39,843
9,891,29,369,5,463,39,398,18,893,6,419,92,639
8,503,912,176,11,835,29,878,2,148,9,96,5,776
792,905,27,712,37,367,5,292,1,324,3,232,5,899
8,389,34,121,7,313,32,937,7,942,41,744,3,624
7,954,2,857,5,362,4,956,12,434,54,13,37,441
9,345,8,847,913,610,2,27,16,589,3,235,5,281
8,910,6,191,24,540,23,325,18,625,22,849,44,502
8,202,7,1,9,414,44,154,2,733,4,600,6,768
8,705,4,36,13,560,4,736,24,336,9,240,40,824
9,536,8,311,20,871,16,366,8,761,5,205,3,719
7,965,16,104,724,328,3,537,2,268,46,684,2,521
9,172,21,754,5,425,4,830,763,914,6,340,20,957
8,461,9,683,1,389,4,893,19,826,6,823,6,18
8,418,3,183,5,232,4,424,16,804,23,618,9,868
9,352,5,669,10,558,17,27,4,115,3,306,28,740
7,600,4,400,11,200,5,632,4,217,5,325,10,140
828,821,36,653,35,214,2,196,1,892,5,796,6,751
9,33,22,958,17,993,16,687,6,505,43,422,2,758
8,312,7,475,8,965,26,159,30,446,29,592,16,948
8,222,24,707,10,928,6,147,15,120,8,994,26,832
7,667,25,558,5,341,10,107,944,130,24,920,4,871
8,566,6,751,637,435,27,528,15,863,7,604,10,16
8,899,7,889,968,238,4,618,2,204,4,741,22,884
9,78,4,35,8,811,5,449,26,829,5,280,4,312
9,796,7,637,543,863,7,196,5,881,7,173,6,290
780,31,2,341,971,542,28,489,19,319,9,944,7,926
9,818,6,797,3,648,22,608,9,847,9,419,9,496
8,242,18,879,6,51,27,863,17,557,7,411,3,556
7,560,469,50,4,302,4,401,2,159,5,131,2,897
9,858,9,198,9,834,36,199,28,175,7,347,5,147
7,903,8,710,368,627,40,403,10,568,16,917,7,960
8,77,4,482,487,734,18,756,3,133,9,15,47,583
9,185,5,297,8,454,16,738,16,554,49,776,4,830
9,40,6,705,9,769,8,441,1,575,7,730,5,938
9,332,5,319,8,573,30,47,2,854,4,551,6,150
8,767,5,987,6,679,5,295,10,420,20,345,7,23
7,937,8,137,27,501,19,125,28,904,17,508,5,571
7,756,5,240,8,883,10,759,2,642,48,779,9,313
9,783,1,485,8,647,4,118,3,336,5,419,7,667
9,763,44,98,408,397,25,788,18,609,29,516,7,647
7,643,5,65,7,956,5,343,3,369,9,340,8,224
926,244,7,232,15,348,41,365,328,622,7,918,8,825
9,745,5,843,4,786,4,303,10,991,2,88,40,950
9,618,9,256,3,770,5,41,20,415,9,57,5,206
951,316,5,659,48,855,2,754,6,585,9,353,7,337
8,938,7,698,6,569,3,683,28,604,3,559,17,679
8,307,4,463,7,990,6,305,27,179,14,343,27,265
8,756,30,473,5,993,180,892,26,929,37,152,3,930
9,832,9,745,6,392,234,479,4,874,47,732,7,407
9,664,559,638,7,718,27,727,3,197,39,314,5,18
7,667,5,548,9,890,45,601,16,452,4,382,3,771
9,876,11,922,5,520,16,708,11,866,8,33,5,54
8,794,6,169,25,289,36,961,3,316,8,950,7,412
986,500,541,150,5,633,13,960,1,789,1,851,9,700
8,892,9,633,1,689,28,260,7,456,15,985,5,328
8,854,7,99,45,885,49,231,1,391,4,235,45,987
8,5,15,760,7,726,5,522,23,739,5,853,18,584
9,791,7,557,6,919,20,10,12,445,9,119,15,976
789,264,2,973,7,134,43,462,3,75,8,102,4,234
9,123,7,239,8,958,8,180,20,987,38,363,7,959
9,477,22,409,7,159,5,117,21,34,13,515,23,107
9,179,8,476,7,828,42,534,8,208,5,869,32,937
8,731,8,460,5,74,11,794,12,221,11,872,7,667
8,842,5,956,47,130,5,704,26,765,7,405,7,256
8,996,41,344,6,334,4,760,24,118,9,661,2,190
7,855,5,866,6,384,16,675,355,1,9,971,7,715
9,548,952,213,627,944,3,999,1,850,5,556,6,952
7,702,8,615,3,880,1,309,19,310,5,991,28,510
7,729,33,972,33,552,5,97,19,914,1,225,42,921
9,908,6,388,7,422,48,927,5,600,6,330,2,13
7,787,9,813,47,853,3,841,3,528,9,892,2,567
9,571,21,712,6,764,22,529,2,134,6,39,8,975
9,718,6,240,773,547,3,402,18,287,6,198,9,26
7,691,2,216,8,782,44,731,3,445,7,102,1,179
7,547,7,150,7,161,48,145,10,607,4,508,41,827
8,325,27,373,3,680,4,858,5,860,5,605,6,636
7,696,6,997,3,780,4,435,2,884,4,962,6,71
8,10,7,461,39,748,28,206,17,364,5,639,6,231
9,547,4,858,5,465,5,649,54,795,49,796,3,827
9,400,261,130,5,846,4,463,2,5,35,35,9,844
8,186,7,414,6,372,47,361,14,558,5,145,6,551
8,914,6,317,23,387,6,196,10,52,15,420,8,429
7,526,5,54,6,178,16,267,2,95,9,151,23,58
9,280,9,669,19,528,5,698,3,493,13,317,8,556
8,764,48,558,2,605,5,695,2,818,8,886,9,361
906,435,732,34,2,822,33,703,8,667,9,540,38,663
8,486,6,935,24,211,34,773,15,815,6,637,4,540
7,641,6,946,6,276,6,675,1,410,19,304,6,380
995,353,3,61,2,292,2,669,26,467,8,989,13,394
7,824,9,832,2,671,5,527,1,243,11,146,6,604
9,48,44,175,11,620,19,322,951,649,3,814,48,377
8,801,8,639,6,803,23,381,3,962,7,214,8,5
8,482,2,612,8,140,4,878,18,84,2,853,9,618
8,54,5,688,2,833,5,628,181,92,9,463,4,495
9,378,9,506,6,824,4,185,13,705,5,602,9,108
7,589,18,999,4,18,17,415,29,940,6,720,8,801
901,695,11,126,8,726,10,380,12,737,4,301,5,721
8,806,8,616,6,165,17,343,1,532,4,983,7,197
9,493,1,360,2,661,5,598,3,64,8,807,46,136
8,259,5,488,8,975,2,645,26,864,9,880,6,679
8,831,3,732,238,556,17,68,32,58,7,259,8,494
9,908,43,93,5,557,4,780,49,306,7,862,9,183
8,848,36,178,7,707,34,115,12,993,37,696,17,323
9,517,29,718,38,843,28,938,8,390,31,408,5,665
9,77,4,592,4,584,19,971,3,213,3,454,9,95
8,181,1,191,184,148,9,197,3,340,7,899,9,526
81,300,5,52,10,594,43,620,3,226,35,520,6,599
7,942,19,992,7,380,5,560,1,271,28,140,48,723
834,309,19,434,5,531,33,784,15,538,39,191,7,587
8,168,12,425,6,279,42,929,52,762,4,279,26,101
7,535,359,302,28,213,1,221,2,887,3,192,8,72
7,621,3,476,6,687,2,901,34,124,7,155,7,414
7,706,4,671,3,605,31,746,31,80,8,352,8,749
8,24,9,108,13,492,1,327,3,125,5,294,49,900
8,718,2,962,9,808,40,870,29,82,6,832,9,130
9,836,7,244,9,245,40,952,32,140,13,679,6,455
9,765,32,872,34,380,5,215,18,988,6,501,9,900
9,960,4,757,3,722,27,680,27,925,23,281,46,880
8,144,33,42,7,94,2,950,2,55,3,276,1,298
7,789,3,807,7,144,3,995,13,12,9,392,44,354
7,891,7,82,6,669,39,945,28,819,5,984,5,766
8,549,5,99,8,944,2,194,29,17,42,502,8,739
8,315,2,956,8,878,10,332,10,749,2,804,7,49
9,443,36,872,7,470,3,235,3,125,7,564,6,418
7,842,3,655,629,126,23,257,11,12,5,252,6,833
9,17,44,55,701,218,27,512,20,837,7,631,5,301
896,347,5,664,5,388,28,358,3,395,5,974,9,975
8,796,37,253,46,775,28,572,26,24,5,98,40,168
9,178,5,242,9,636,38,795,1,520,13,384,5,528
7,759,3,962,9,292,2,814,3,418,21,426,5,690
9,668,9,525,8,640,5,71,9,856,5,381,10,708
7,900,9,57,7,792,5,166,14,891,4,234,9,178
9,245,5,724,10,118,5,489,15,742,6,503,9,651
9,961,33,187,2,614,5,76,23,47,13,215,9,693
9,924,28,675,8,226,49,737,15,818,5,356,36,490
9,712,5,596,16,913,22,33,3,504,5,444,5,178
9,146,5,445,39,19,39,840,2,814,10,391,9,830
9,45,1,544,9,649,26,472,14,159,19,286,5,221
8,386,2,60,5,419,5,308,1,148,6,170,38,218
9,509,8,479,15,309,42,607,10,133,33,759,33,391
7,528,7,376,7,899,3,231,21,283,3,836,9,443
8,504,3,397,3,361,2,218,3,528,8,646,7,441
7,554,782,598,45,3,7,861,2,554,2,490,8,424
8,50,27,113,34,484,3,566,2,760,4,805,27,576
8,103,6,861,5,348,15,227,21,73,3,268,5,878
8,744,12,737,3,361,4,459,2,269,2,406,3,517
8,120,2,637,9,617,41,386,2,584,6,820,8,923
7,793,5,615,49,830,18,638,1,359,5,114,9,177
9,217,502,765,9,204,3,175,11,900,7,128,16,948
8,261,655,48,4,799,21,821,34,332,8,366,8,903
7,970,5,844,913,99,31,262,8,155,1,558,1,904
8,329,5,675,7,150,3,298,27,966,16,137,8,566
9,843,482,784,6,347,2,922,3,164,16,890,44,839
8,468,7,786,7,557,4,994,22,177,27,632,4,599
8,924,7,669,6,554,10,348,8,560,33,886,9,381
8,696,544,960,45,871,7,883,9,645,4,257,9,735
9,182,9,968,5,173,3,475,2,998,5,312,20,236
860,496,15,84,2,619,5,40,16,637,2,951,13,382
8,765,38,32,38,909,3,296,1,320,22,603,10,266
8,507,19,968,7,40,5,319,13,670,19,688,8,199
91,906,34,443,5,831,4,757,5,632,4,424,3,376
9,59,2,620,9,758,5,702,22,923,22,618,42,763
9,40,8,285,12,898,39,302,26,416,8,121,6,444
897,489,13,296,724,820,133,296,20,906,5,24,4,326
9,32,13,683,9,861,7,940,1,704,3,436,4,344
7,989,7,655,5,220,38,204,24,147,8,802,9,140
8,977,7,950,4,937,4,492,3,78,25,148,30,907
9,647,28,43,5,265,45,626,15,545,5,402,95,387
7,917,23,699,8,440,10,580,11,944,8,729,19,813
8,730,92,235,47,79,24,15,28,455,18,699,1,44
9,593,37,335,2,857,2,130,32,158,8,267,40,999
7,976,8,711,6,30,1,242,51,370,6,288,4,228
8,603,9,856,3,685,34,942,18,723,3,982,9,631
7,844,5,523,7,866,47,284,3,575,1,222,9,594
9,719,32,592,8,495,3,938,15,262,5,528,7,957
9,654,30,817,4,770,5,620,26,286,7,747,5,125
9,118,8,628,4,171,27,475,7,222,6,456,8,145
8,850,9,405,8,886,16,945,2,102,29,102,5,946
9,87,7,840,8,468,5,13,354,469,9,107,29,295
9,658,17,765,6,158,38,284,25,327,9,615,8,42
8,976,8,419,48,856,4,314,24,209,47,75,6,372
9,888,2,834,8,41,4,596,2,54,29,52,6,223
8,914,5,898,26,925,4,586,22,512,8,139,7,989
9,110,7,482,2,909,5,155,23,584,28,610,4,654
9,491,523,555,5,835,19,358,2,868,41,823,24,685
760,110,9,512,8,6,47,703,1,268,4,462,3,113
9,403,5,250,6,654,3,377,22,809,1,758,9,645
8,411,706,594,10,707,1,668,23,641,5,586,6,9
8,599,6,759,14,410,3,843,23,307,32,673,7,85
8,224,9,190,4,85,3,954,27,474,34,384,6,745
8,715,8,305,858,175,31,477,133,273,8,370,6,681
7,925,5,846,9,860,5,414,4,89,6,982,9,46
9,207,8,63,5,4,27,861,15,951,5,904,5,260
7,923,12,462,4,795,1,386,9,168,1,78,5,904
8,471,8,407,507,803,4,480,3,156,36,690,2,2
8,709,8,820,25,95,31,807,24,843,6,767,3,128
8,526,5,271,63,885,30,554,2,886,5,609,32,911
9,240,5,137,563,273,4,790,12,931,18,604,5,264
8,500,1,450,11,104,38,856,7,611,6,59,69,837
9,544,22,694,8,615,19,918,1,309,12,825,9,952
9,610,4,37,24,556,13,640,3,116,6,328,10,171
7,930,22,359,9,148,49,953,28,84,4,519,1,962
8,434,47,221,6,967,5,68,27,760,8,22,6,485
767,47,3,670,12,848,5,119,32,698,5,7,7,733
8,84,6,241,9,55,2,860,32,999,8,968,3,360
8,665,6,338,5,869,48,958,3,278,9,145,30,393
8,496,713,199,7,874,44,693,10,347,8,430,2,980
8,380,3,725,2,815,4,427,3,162,5,77,7,188
8,995,5,84,11,242,36,782,2,216,5,622,44,25
852,943,952,159,7,780,4,885,18,773,16,174,20,533
8,866,6,170,823,716,28,857,32,937,4,563,8,49
9,786,2,996,25,138,9,865,5,629,6,208,8,992
9,663,3,539,9,443,35,537,30,384,2,159,6,631
7,665,952,212,7,888,13,18,477,678,11,896,1,490
8,545,6,822,4,26,35,766,9,887,7,740,7,208
9,104,31,350,2,539,4,409,240,908,3,247,4,621
966,559,35,72,7,871,238,650,25,734,3,984,6,572
7,952,31,331,9,14,5,268,10,627,4,195,26,378
9,851,36,823,35,68,4,387,690,790,7,878,17,331
9,992,7,261,9,563,5,207,1,526,3,830,2,692
7,502,17,541,1,803,16,518,1,989,5,858,5,710
8,395,37,868,8,32,40,741,29,783,9,789,27,637
9,259,647,547,933,431,2,839,2,969,12,751,32,585
7,879,198,692,8,659,4,236,2,831,6,164,33,192
9,558,1,473,6,945,5,544,1,849,6,833,5,943
7,915,7,956,5,865,3,73,11,509,8,548,6,735
9,213,8,237,956,567,4,87,10,70,3,584,6,352
8,866,5,11,387,581,42,206,38,79,1,763,6,425
8,807,5,888,6,364,2,149,1,633,5,536,4,980
9,405,8,888,40,897,20,491,6,182,18,730,2,899
9,726,8,99,45,547,22,196,35,245,12,702,9,438
9,671,3,980,726,835,5,152,18,255,5,369,4,627
7,764,6,315,6,766,2,174,21,559,3,260,13,138
9,52,9,448,6,468,35,885,20,424,7,320,8,217
8,71,8,830,7,554,27,731,350,807,6,548,8,775
9,63,8,661,33,211,41,926,3,768,3,266,9,440
944,993,595,36,21,265,5,274,3,857,6,432,36,4
8,795,4,187,6,249,32,671,2,972,41,291,38,837
9,833,5,301,27,786,14,821,32,426,9,641,7,710
9,469,85,116,9,471,2,694,30,886,2,134,5,301
88,704,39,948,33,757,34,120,1,690,8,639,7,899
8,805,23,60,9,798,44,895,5,695,2,573,9,843
9,765,783,906,9,820,19,548,10,787,4,37,3,187
866,391,9,859,46,593,39,783,324,995,7,0,3,87
8,871,9,539,9,777,5,189,8,24,3,807,8,251
8,649,8,436,44,816,5,235,1,705,4,725,7,750
7,779,626,709,8,834,17,436,1,334,23,46,9,853
823,949,23,148,7,975,2,626,13,614,8,669,7,805
8,950,9,765,7,938,3,545,19,886,25,926,38,706
9,559,42,877,5,223,7,198,1,91,6,398,5,660
7,666,9,732,5,636,5,267,31,395,5,967,9,159
9,550,40,402,177,609,7,403,20,844,4,646,7,268
8,881,35,474,13,637,10,468,1,297,20,839,4,320
8,27,9,808,417,391,5,81,7,840,7,409,4,906
7,778,30,153,3,339,4,868,359,249,3,25,10,12
8,540,5,353,8,265,1,247,10,644,4,990,17,138
8,80,4,162,9,901,24,630,2,712,14,428,9,578
9,909,600,826,44,11,16,313,27,74,42,66,10,950
7,942,5,712,25,62,38,938,9,693,3,335,3,887
8,722,8,951,9,809,4,605,17,575,2,681,5,51
9,555,3,866,6,380,30,241,17,876,2,576,8,196
8,455,36,546,24,776,40,288,2,597,7,55,38,441
7,958,9,791,12,677,15,93,12,79,21,703,9,941
9,672,8,744,4,30,35,996,3,240,5,629,10,11
7,595,42,679,34,287,22,198,1,289,5,986,7,364
8,525,4,372,31,30,3,996,32,84,7,906,2,425
7,846,38,822,791,731,3,753,19,469,9,116,15,325
9,364,34,452,7,216,38,987,25,290,3,313,34,523
8,411,4,691,5,498,28,749,24,319,5,374,8,270
7,986,3,387,9,986,2,929,2,531,29,564,22,88
8,625,8,783,24,622,5,549,2,658,6,731,9,860
7,833,8,603,43,218,16,836,1,61,10,69,8,153
9,37,24,956,25,483,3,421,28,802,12,198,3,675
9,178,4,207,4,576,5,323,34,811,7,267,13,937
7,615,218,931,6,941,20,933,39,64,2,796,1,751
8,609,9,673,5,684,3,833,341,538,4,993,37,791
7,784,34,670,28,888,6,12,18,973,4,426,2,658
9,760,8,549,9,334,8,809,1,316,3,677,5,916
