main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Temperature ],secondary value [Temperature]
9,55,6,18,4,569
9,388,755,697,5,824
8,629,31,740,5,590
7,885,25,16,9,513
8,33,3,716,39,278
8,342,37,259,2,621
766,981,3,670,3,168
876,397,4,711,6,165
8,611,5,51,10,474
8,506,4,673,14,201
8,586,6,97,28,823
7,503,385,107,7,803
7,627,5,972,12,426
9,277,5,50,4,132
7,633,2,257,4,419
9,325,4,688,6,287
8,704,2,605,46,268
8,281,7,700,521,724
9,396,7,463,2,902
9,311,44,781,14,560
8,201,5,727,13,46
8,333,3,142,7,271
8,336,41,522,1,19
8,341,37,630,20,479
8,741,6,661,23,944
8,950,41,723,6,354
9,334,5,335,11,571
8,628,41,106,11,119
7,924,6,247,13,759
8,670,39,922,27,181
8,636,38,110,17,483
870,95,2,954,25,265
8,93,6,77,2,887
7,922,7,440,5,415
8,552,24,591,2,967
8,498,2,742,3,403
7,655,4,169,5,800
9,385,5,728,47,342
9,168,2,443,6,225
7,657,27,802,5,267
9,52,5,449,6,125
7,924,5,869,25,168
85,23,25,599,6,101
8,846,22,610,3,933
8,470,6,952,445,391
949,671,5,893,10,140
7,887,7,185,31,170
7,777,23,611,2,175
8,336,3,894,34,189
7,887,2,268,10,652
8,481,4,586,3,609
9,409,471,876,1,897
9,467,7,52,47,774
8,875,636,714,19,299
931,352,586,561,9,727
7,964,5,380,2,172
8,752,6,602,5,739
8,521,44,978,24,353
8,216,2,405,5,969
9,113,6,494,4,85
8,987,25,720,5,793
9,221,5,953,6,23
8,723,7,606,2,611
8,52,40,0,9,510
8,793,7,6,499,650
783,306,4,666,26,434
8,639,6,651,425,343
8,614,5,149,9,469
7,994,5,648,22,292
9,284,23,588,6,265
7,640,7,267,5,57
8,795,24,801,1,506
9,180,38,627,5,945
7,978,5,804,6,49
8,999,6,298,37,144
8,271,424,546,46,519
809,770,6,270,2,708
7,814,44,528,1,386
8,916,4,568,20,922
8,590,5,236,40,872
9,284,5,192,5,980
8,144,5,547,5,814
8,530,42,873,4,43
894,242,5,524,5,244
8,478,39,744,8,533
9,5,7,344,5,739
8,770,373,106,2,298
9,34,2,904,5,638
9,262,6,120,6,395
9,116,7,388,23,278
909,669,2,778,4,788
8,524,2,555,5,737
9,30,7,410,4,988
7,927,7,673,1,220
7,711,40,412,3,749
8,910,3,507,24,635
833,183,4,290,10,258
9,234,397,840,5,678
9,47,4,397,26,313
8,232,6,565,17,545
7,529,5,306,28,995
946,979,6,409,3,665
8,799,34,713,35,339
8,457,3,996,39,845
7,774,33,510,4,512
8,666,7,512,10,821
8,280,2,644,8,14
8,264,36,648,9,585
881,822,6,38,1,807
8,202,7,606,6,162
878,376,5,480,21,607
8,139,3,3,6,168
9,472,703,931,36,792
7,500,36,127,350,681
9,436,2,887,3,842
8,586,35,263,2,341
9,112,513,55,16,825
817,317,34,505,47,318
8,503,34,612,4,154
787,451,38,551,21,612
7,750,592,382,318,454
8,918,46,121,23,219
8,674,668,239,32,549
9,383,7,458,39,416
8,819,6,557,3,258
8,993,5,959,18,518
8,119,5,394,4,442
790,811,432,951,4,451
8,277,3,423,15,339
8,780,5,701,14,193
8,304,7,521,5,932
776,936,3,959,9,899
7,705,6,533,6,357
7,893,4,133,3,843
7,995,293,24,8,520
8,91,7,306,48,812
8,499,7,424,7,248
9,470,31,885,2,2
7,920,4,353,4,390
8,511,5,776,5,660
9,81,598,934,41,172
9,54,7,250,4,388
8,451,5,861,48,699
7,630,5,123,442,998
8,924,36,946,23,274
9,64,4,165,6,157
8,329,73,795,5,312
9,21,6,453,5,287
7,947,5,361,31,780
7,505,6,851,23,68
8,155,688,284,1,796
7,789,33,489,3,375
8,716,6,316,16,660
7,590,2,686,1,929
752,459,44,603,5,766
8,530,5,237,5,158
9,208,22,504,1,678
8,461,4,592,4,319
7,948,3,342,3,561
8,472,47,373,7,354
853,501,3,2,6,200
8,528,7,386,5,503
8,508,24,655,18,439
89,879,4,60,17,528
9,271,6,17,30,122
7,582,3,861,241,758
8,566,2,683,47,87
7,670,7,300,5,473
7,750,3,961,6,41
8,346,27,912,7,240
8,735,44,797,5,463
935,906,4,961,30,200
7,974,46,729,21,33
8,339,4,406,17,161
7,799,44,384,393,461
8,570,4,156,5,570
9,460,5,465,44,469
9,291,6,137,45,725
8,64,4,216,13,971
8,366,3,82,5,602
763,212,488,90,5,693
7,564,28,476,5,940
8,724,26,958,6,24
8,988,31,230,6,157
9,106,673,519,439,579
8,406,2,369,5,310
9,176,5,869,20,653
7,836,41,196,9,815
8,254,5,110,2,467
7,531,29,588,5,618
7,995,25,956,15,331
8,106,27,886,1,462
8,420,43,301,4,649
7,645,5,529,10,664
7,505,522,594,28,560
834,653,3,291,2,723
9,244,7,275,23,55
8,875,5,209,30,557
8,861,57,538,30,901
9,388,25,140,5,471
946,41,22,996,5,602
7,785,6,61,5,773
8,333,271,989,13,60
7,974,4,824,3,571
7,742,3,674,4,857
9,456,4,921,15,902
9,211,329,164,13,15
8,508,47,908,9,176
8,100,6,421,306,126
8,578,6,524,4,885
7,585,7,315,3,384
8,580,6,440,47,541
7,678,6,365,5,154
7,719,693,106,21,583
8,393,37,725,9,772
9,14,2,934,2,388
846,234,6,793,3,707
9,202,4,550,20,245
783,634,42,585,986,249
8,22,3,560,35,872
9,172,37,729,42,231
8,670,4,935,20,411
9,430,2,808,5,143
7,757,3,671,24,466
8,659,6,245,46,272
7,656,7,733,27,63
7,513,3,30,20,840
9,149,4,854,2,530
9,174,44,936,6,323
8,843,47,50,12,618
881,527,44,830,4,683
9,121,4,818,30,696
866,65,48,626,3,667
8,537,25,358,5,733
8,247,6,617,1,366
9,406,3,278,5,459
7,837,667,51,6,174
8,617,2,725,46,986
9,299,5,26,3,188
8,818,6,746,797,671
8,950,2,253,1,623
8,620,680,566,1,337
8,16,46,455,4,785
9,200,6,924,2,554
7,701,2,741,14,9
7,812,35,159,13,777
9,147,5,279,2,562
8,764,2,510,16,78
7,667,2,481,16,141
8,150,6,846,8,87
8,274,4,97,19,302
8,850,2,229,4,172
8,548,6,276,4,222
8,222,2,750,5,562
8,738,683,685,6,193
7,844,6,624,5,357
7,692,6,893,23,954
9,120,5,268,26,900
8,977,46,573,5,162
7,907,5,313,48,830
7,791,29,119,25,984
7,757,49,153,3,247
7,990,34,917,46,1
8,998,346,910,3,81
7,523,5,353,16,543
8,255,6,150,3,73
873,81,7,235,23,100
7,559,26,439,19,562
8,998,6,372,24,974
7,627,5,461,29,623
8,2,757,875,5,201
8,752,5,472,14,121
8,873,7,45,7,710
8,498,7,307,14,442
8,787,7,303,41,378
7,736,4,433,17,234
8,631,452,100,25,974
8,464,2,626,2,536
781,470,23,9,544,893
9,464,2,644,10,516
795,227,7,21,2,346
815,932,41,463,35,86
7,712,2,229,21,202
9,265,5,302,12,206
8,126,4,560,5,845
8,620,6,633,7,732
8,677,6,991,45,313
9,212,389,9,6,361
7,971,6,616,1,478
7,815,2,825,3,157
8,120,3,464,5,310
8,265,512,849,2,73
8,718,7,519,5,106
7,953,5,897,5,634
8,63,5,634,15,112
8,49,3,931,5,865
8,331,31,517,40,737
7,807,42,304,1,668
7,730,4,262,48,444
8,788,36,902,41,987
8,898,28,302,39,909
9,221,582,927,6,363
8,211,41,23,6,389
854,434,5,94,5,923
7,844,5,487,38,953
8,310,7,677,5,713
8,299,4,200,6,57
8,531,36,550,20,779
7,927,6,442,376,140
9,406,620,658,3,476
8,477,7,379,4,253
8,870,621,632,12,356
9,192,2,959,5,310
8,349,4,89,2,288
7,709,754,617,20,6
7,758,604,346,16,158
9,75,38,548,5,758
8,994,4,895,18,580
9,160,7,730,31,831
7,855,6,830,223,182
8,5,5,727,4,377
8,428,5,414,5,729
9,326,39,918,5,592
8,251,630,172,2,558
7,956,6,263,5,188
9,400,5,911,5,837
7,752,40,269,24,869
9,330,2,785,362,878
8,743,6,65,322,194
8,21,3,199,48,437
8,712,5,941,37,54
8,363,3,1,5,684
9,131,5,350,5,101
9,384,7,712,6,376
8,880,6,51,36,320
8,379,7,582,291,47
8,290,7,341,43,920
9,240,4,505,37,12
896,325,3,786,10,154
8,41,48,727,1,438
8,19,5,684,53,618
8,173,6,212,7,270
8,991,501,448,1,48
7,889,6,161,4,38
8,148,7,374,20,586
9,245,4,97,1,474
764,832,5,724,2,76
8,262,7,187,5,468
9,447,3,586,2,469
7,873,6,292,16,540
7,883,24,841,15,780
8,87,33,755,15,692
9,313,714,478,5,773
8,182,3,42,546,350
8,721,5,704,5,761
82,682,45,840,29,826
945,293,5,442,43,273
9,326,7,558,2,546
8,403,7,623,5,571
7,797,5,624,49,944
801,126,31,277,2,130
8,142,5,530,4,953
7,977,34,522,6,239
935,930,43,903,3,599
9,297,7,570,4,840
82,104,41,668,12,570
8,472,23,768,2,475
8,77,7,487,10,433
8,161,589,199,22,654
9,303,279,931,10,871
905,94,5,875,34,75
8,659,5,100,4,884
8,358,2,396,2,73
7,508,6,932,348,138
826,325,3,178,22,892
7,527,3,875,3,466
9,360,42,423,39,325
8,875,7,58,2,646
8,593,29,427,36,980
7,810,3,458,27,196
9,135,38,849,4,986
8,188,6,441,2,520
9,197,4,200,8,784
8,424,2,961,525,324
9,96,5,647,44,43
8,526,2,537,5,850
9,353,485,215,269,215
880,655,6,644,6,340
912,976,31,314,47,356
8,944,673,723,5,773
9,65,5,298,605,580
7,782,6,722,369,98
8,529,3,863,24,418
9,192,7,758,5,730
753,315,34,541,3,423
7,710,250,791,2,319
9,452,7,521,236,830
7,586,24,909,3,771
7,733,647,175,4,477
9,431,2,337,37,57
8,63,7,22,22,894
8,467,7,645,4,831
9,324,38,586,4,254
9,358,493,452,527,227
9,217,6,37,47,551
7,823,7,65,3,333
7,992,7,246,9,992
7,635,5,789,19,868
9,227,4,426,5,99
9,65,6,196,18,21
7,691,4,303,20,667
9,195,3,41,3,403
805,481,3,825,5,786
8,971,5,357,540,250
8,582,6,173,32,506
8,330,38,456,26,806
9,57,5,293,1,599
8,925,3,208,25,452
9,115,7,88,15,900
9,163,46,955,4,941
8,589,5,119,34,562
9,256,23,823,10,419
7,821,40,742,3,365
7,952,47,350,3,88
7,852,5,712,48,68
7,925,6,622,14,418
8,255,7,137,4,799
8,15,4,653,43,158
9,409,687,988,4,498
7,988,6,985,30,677
7,900,7,173,31,494
8,6,6,137,4,172
7,950,5,198,5,415
7,727,5,639,12,99
9,411,3,31,31,135
8,745,3,192,35,959
7,966,23,661,4,35
9,339,2,365,40,154
8,9,6,949,4,941
8,137,6,314,27,410
8,370,4,21,4,955
8,492,38,627,428,712
9,22,4,67,5,63
922,493,39,89,17,378
8,128,7,316,2,962
831,254,37,384,34,662
8,693,38,15,32,315
8,503,4,86,3,807
9,69,4,820,30,488
7,549,6,738,3,460
9,80,23,35,5,749
8,861,6,873,20,122
7,520,5,542,5,163
9,175,5,845,38,214
792,844,5,788,5,823
8,152,6,475,1,270
9,482,2,951,7,634
8,652,3,41,17,621
8,650,41,769,388,280
9,492,3,788,6,368
7,721,28,945,6,310
8,348,23,368,13,513
8,965,5,251,39,676
8,419,23,848,42,730
9,118,5,885,5,986
7,581,3,479,4,429
7,914,6,588,3,940
8,864,6,656,4,459
9,214,5,282,5,987
7,783,646,974,419,773
907,872,40,327,36,825
886,886,691,262,44,498
8,701,5,473,640,998
7,502,29,75,30,765
9,493,676,35,6,147
7,499,7,550,576,707
8,715,3,852,6,428
9,62,5,923,3,346
9,260,7,550,50,658
9,330,6,385,4,319
8,537,6,581,512,447
8,274,2,905,24,310
8,20,5,128,933,950
8,429,39,678,2,757
912,679,5,984,110,791
8,211,7,618,3,897
8,291,7,263,3,155
7,648,41,565,5,555
9,0,6,939,5,978
8,747,5,64,8,634
8,96,28,101,35,609
8,290,5,514,6,416
866,210,6,70,14,929
7,788,647,927,10,58
9,231,28,683,28,47
8,713,48,595,39,510
8,125,2,458,18,669
9,498,37,187,22,762
8,473,5,88,2,927
7,830,4,260,2,924
8,668,6,465,27,334
8,50,5,228,14,182
9,359,4,587,2,708
8,340,24,844,13,577
8,805,7,208,393,648
9,223,7,646,3,605
8,534,23,494,2,521
7,641,4,223,2,509
8,742,5,71,4,126
7,735,24,705,5,4
9,403,6,551,6,241
7,941,5,994,4,753
8,951,28,505,43,319
8,374,4,341,5,61
8,323,23,536,18,475
9,345,4,54,6,163
7,754,7,547,6,302
8,504,37,619,1,338
8,35,4,98,6,417
7,524,5,595,5,591
8,169,39,706,2,868
7,962,26,22,11,489
8,65,7,720,19,750
7,723,6,312,3,379
7,560,48,469,5,244
7,662,580,153,9,843
8,936,514,564,4,538
7,921,5,17,42,989
758,129,4,37,5,150
7,782,4,31,4,710
9,11,31,489,18,937
8,472,637,535,36,166
8,551,37,408,3,401
9,258,4,224,3,367
809,590,25,896,7,342
9,380,6,641,5,656
7,511,6,491,18,888
7,976,5,533,3,459
7,743,7,328,23,20
8,217,63,644,3,0
8,94,7,90,559,339
7,890,6,495,5,521
8,512,22,718,30,110
9,173,4,311,4,701
7,770,26,37,22,16
7,585,22,347,6,198
8,573,5,413,1,893
8,298,6,715,5,71
9,175,25,126,2,402
8,67,6,699,14,895
8,383,2,768,2,528
8,850,591,31,46,741
8,770,3,689,6,400
9,58,7,604,3,138
9,300,7,560,17,881
9,337,5,711,18,844
8,598,6,925,28,178
7,575,3,917,5,826
8,366,3,229,14,118
8,294,2,979,6,127
7,976,3,482,16,505
9,139,6,243,8,290
8,235,3,228,38,694
8,447,6,230,25,248
8,685,5,559,33,40
7,791,28,42,5,384
7,729,43,525,11,11
8,565,6,673,9,167
8,289,43,362,21,868
8,36,49,619,42,622
855,950,4,479,30,260
7,694,5,736,5,265
8,979,23,272,17,534
7,964,4,697,3,269
9,153,7,718,14,494
8,597,22,404,195,261
7,584,41,243,5,598
8,591,7,546,2,654
7,713,7,216,3,532
8,899,3,672,3,534
7,535,667,415,33,389
7,909,36,442,7,566
8,317,7,535,33,495
8,901,24,403,531,673
8,263,5,3,5,824
8,748,5,810,19,756
8,856,7,141,25,900
7,639,41,553,6,38
8,742,32,662,1,507
765,233,30,492,253,277
8,212,33,906,40,616
9,267,522,593,18,519
9,122,5,31,2,810
8,997,4,482,19,618
8,829,275,290,4,180
9,270,7,486,2,604
8,806,48,286,9,424
8,660,2,773,22,727
7,768,7,739,28,14
7,995,6,922,4,157
7,694,7,464,32,378
9,464,7,314,5,400
7,765,5,74,632,158
7,856,272,971,6,60
8,103,22,948,1,187
9,272,23,4,3,442
7,739,7,101,21,79
8,800,40,312,24,486
8,626,24,461,26,79
781,774,505,0,2,847
9,212,3,377,2,405
9,138,41,883,10,273
7,664,3,968,3,841
8,479,42,597,23,122
8,819,45,58,408,798
9,15,7,14,4,361
8,102,7,479,5,10
798,704,3,913,4,296
8,854,40,405,6,418
8,197,6,936,5,511
8,82,67,202,7,912
8,746,41,435,27,721
887,396,46,173,20,453
8,99,5,298,5,190
9,124,7,717,44,477
867,545,5,157,14,734
9,170,5,521,3,271
8,42,5,631,3,227
8,697,665,801,11,755
8,625,5,532,37,585
891,124,35,53,6,391
7,773,3,410,18,464
8,60,4,721,23,99
9,449,6,543,5,435
9,447,7,730,31,389
8,564,6,135,6,176
8,946,28,104,13,734
9,490,6,23,15,57
8,492,6,224,20,462
7,645,7,595,38,616
8,820,5,632,13,573
8,68,510,413,19,728
7,707,6,541,4,352
8,69,47,522,620,488
8,89,6,955,29,937
8,175,7,471,558,722
851,53,6,683,5,78
7,636,6,315,44,487
8,300,5,475,26,696
8,442,2,289,3,299
8,927,6,898,2,285
783,597,2,749,36,471
812,202,6,768,5,794
94,281,2,417,42,990
9,401,7,723,6,354
8,419,6,281,3,304
767,638,7,94,5,49
9,122,2,654,25,856
877,492,4,656,4,194
8,655,5,889,6,392
9,90,5,944,301,94
9,332,7,236,4,818
7,758,6,835,41,44
7,885,7,259,9,205
898,987,7,268,2,33
9,5,6,367,6,249
8,336,477,694,3,837
9,410,5,193,12,9
8,910,48,248,2,493
8,922,49,540,7,949
8,898,312,670,26,528
8,288,5,343,6,411
801,12,6,687,17,996
9,351,6,782,3,882
7,621,740,808,5,905
8,676,7,569,4,545
9,50,2,544,2,489
8,613,23,944,23,887
8,181,580,33,6,280
776,872,5,466,6,291
8,550,5,669,5,380
8,268,6,961,3,850
899,260,6,405,8,675
8,581,4,908,3,98
896,601,637,684,6,251
8,167,4,148,5,126
8,505,6,135,5,42
8,119,5,798,4,809
8,472,7,541,29,519
8,31,6,575,2,780
7,627,41,263,20,549
8,676,6,148,39,440
7,785,7,766,33,520
7,681,47,380,2,43
7,890,2,789,22,745
7,772,42,692,4,841
8,109,6,538,10,261
7,772,3,427,18,602
7,832,5,566,3,97
784,315,31,943,4,194
7,558,4,618,21,205
7,722,28,549,19,137
8,111,6,435,6,247
9,188,3,611,6,330
921,100,706,355,10,23
7,952,6,497,9,571
8,225,7,322,5,96
8,736,24,569,832,452
8,282,29,49,11,93
7,513,26,144,563,36
7,652,7,51,5,949
7,788,5,233,5,666
9,299,6,712,34,416
920,513,45,860,45,127
8,666,3,622,145,586
8,779,5,532,10,566
7,854,3,652,4,360
9,190,32,426,15,880
8,988,387,598,4,530
9,454,27,300,5,301
8,802,40,486,2,316
8,658,5,619,39,964
7,546,3,855,9,822
9,77,4,984,45,649
8,487,46,868,19,36
9,39,29,871,17,458
8,270,6,561,4,758
9,137,3,368,5,664
9,88,4,737,31,419
8,470,486,685,3,622
9,8,4,88,21,56
8,784,5,150,3,73
7,904,4,369,25,755
8,785,7,506,40,157
7,825,500,69,33,185
86,810,26,63,6,422
7,825,4,73,4,407
9,109,47,188,35,82
7,819,582,658,34,585
9,45,6,676,5,604
9,274,48,570,2,615
9,372,4,476,529,891
7,690,627,772,6,340
803,209,5,973,5,121
8,503,5,215,2,201
9,230,5,179,49,376
799,967,699,261,4,230
9,41,4,927,42,488
9,260,3,161,3,972
757,164,4,318,48,844
7,523,41,151,2,511
8,181,6,884,5,864
8,20,40,331,5,491
9,259,6,365,3,285
907,775,5,798,5,931
906,672,3,945,11,197
9,249,4,582,24,318
7,898,5,305,3,980
781,118,5,798,19,673
8,636,23,612,18,112
9,309,5,913,46,248
8,410,48,734,28,669
9,71,6,891,4,199
8,128,2,704,16,48
915,180,4,17,11,156
8,427,3,671,32,237
9,406,4,971,18,349
872,740,49,267,40,255
750,170,3,756,15,930
7,917,4,98,44,91
8,551,6,659,5,211
8,658,5,175,5,103
9,327,2,609,34,293
811,103,6,407,45,117
7,522,46,963,610,824
8,596,6,493,13,361
8,471,5,56,3,910
7,993,33,174,5,51
8,682,45,157,3,482
947,844,47,110,26,353
9,450,7,36,5,476
9,56,6,374,31,501
8,672,41,307,28,172
803,352,6,299,44,855
7,563,5,431,5,364
7,665,3,535,6,135
9,426,569,165,28,840
7,721,37,565,4,662
8,761,22,554,4,459
7,968,4,645,22,412
9,419,27,124,447,701
7,969,542,141,4,744
7,584,6,192,5,84
9,277,7,150,34,575
9,141,6,831,39,829
7,641,22,380,19,414
9,21,7,0,12,800
8,348,6,648,25,181
7,924,4,490,34,6
9,336,5,409,35,549
7,768,5,843,40,368
8,983,6,831,45,13
8,144,4,794,240,881
8,813,638,33,6,109
8,180,7,86,42,466
