TS,Voltage_main,Current_main,Temperature_main
0:58:29,3,13,46
0:58:30,6,2,7
0:58:31,1,24,9
0:58:32,432,19,9
0:58:33,3,1,5
0:58:34,47,3,5
0:58:35,2,3,6
0:58:36,4,16,5
0:58:37,3,32,7
0:58:38,386,21,5
0:58:39,29,5,7
0:58:40,6,4,5
0:58:41,1,2,7
0:58:42,5,46,6
0:58:43,49,3,9
0:58:44,7,28,7
0:58:45,51,3,9
0:58:46,5,45,5
0:58:47,44,27,567
0:58:48,21,43,7
0:58:49,626,3,9
0:58:50,7,11,7
0:58:51,0,22,5
0:58:52,6,46,7
0:58:53,4,3,5
0:58:54,10,2,8
0:58:55,19,30,7
0:58:56,35,24,776
0:58:57,16,29,6
0:58:58,9,4,5
0:58:59,6,49,6
0:59:00,28,5,934
0:59:01,6,2,9
0:59:02,9,23,8
0:59:03,4,46,791
0:59:04,17,49,8
0:59:05,5,29,8
0:59:06,26,24,6
0:59:07,17,36,8
0:59:08,39,2,6
0:59:09,6,5,5
0:59:10,7,47,9
0:59:11,6,5,8
0:59:12,6,3,6
0:59:13,62,4,4
0:59:14,6,42,10
0:59:15,35,2,6
0:59:16,4,20,8
0:59:17,38,38,48
0:59:18,19,301,9
0:59:19,25,15,9
0:59:20,136,5,7
0:59:21,2,4,9
0:59:22,3,15,7
0:59:23,14,12,4
0:59:24,20,19,592
0:59:25,1,21,5
0:59:26,5,29,4
0:59:27,3,11,5
0:59:28,4,1,5
0:59:29,5,42,8
0:59:30,8,27,7
0:59:31,13,5,6
0:59:32,6,27,9
0:59:33,15,30,9
0:59:34,597,11,7
0:59:35,4,36,7
0:59:36,6,3,7
0:59:37,38,11,8
0:59:38,3,18,875
0:59:39,811,12,6
0:59:40,30,22,7
0:59:41,25,2,46
0:59:42,3,4,46
0:59:43,20,34,6
0:59:44,5,4,8
0:59:45,7,431,9
0:59:46,5,549,8
0:59:47,49,5,4
0:59:48,3,20,5
0:59:49,10,218,9
0:59:50,4,12,6
0:59:51,6,3,5
0:59:52,16,5,7
0:59:53,5,2,8
0:59:54,41,501,6
0:59:55,1,21,8
0:59:56,7,5,9
0:59:57,49,20,8
0:59:58,6,23,9
0:59:59,5,5,8
1:00:00,4,1,7
1:00:01,3,5,9
1:00:02,5,37,8
1:00:03,22,5,9
1:00:04,37,32,8
1:00:05,2,3,7
1:00:06,45,44,5
1:00:07,5,3,8
1:00:08,6,16,7
1:00:09,3,5,9
1:00:10,14,36,762
1:00:11,6,33,6
1:00:12,10,48,9
1:00:13,39,43,5
1:00:14,141,375,7
1:00:15,3,182,9
1:00:16,7,19,6
1:00:17,23,489,9
1:00:18,5,19,885
1:00:19,2,2,7
1:00:20,133,46,4
1:00:21,17,243,7
1:00:22,4,3,901
1:00:23,5,25,9
1:00:24,6,5,709
1:00:25,43,314,4
1:00:26,3,3,47
1:00:27,710,5,5
1:00:28,24,36,7
1:00:29,626,15,5
1:00:30,3,16,9
1:00:31,714,3,5
1:00:32,6,1,8
1:00:33,7,25,4
1:00:34,4,46,6
1:00:35,11,2,9
1:00:36,17,3,8
1:00:37,8,12,8
1:00:38,2,3,6
1:00:39,21,26,6
1:00:40,5,4,7
1:00:41,6,1,6
1:00:42,48,17,9
1:00:43,5,29,6
1:00:44,65,38,5
1:00:45,5,3,8
1:00:46,5,288,6
1:00:47,6,423,7
1:00:48,7,30,786
1:00:49,31,14,7
1:00:50,5,480,9
1:00:51,4,3,8
1:00:52,4,3,9
1:00:53,6,23,5
1:00:54,12,32,8
1:00:55,11,3,5
1:00:56,6,33,7
1:00:57,7,46,9
1:00:58,7,38,5
1:00:59,14,4,8
1:01:00,5,16,999
1:01:01,22,49,9
1:01:02,5,4,6
1:01:03,13,35,7
1:01:04,3,38,7
1:01:05,46,42,7
1:01:06,5,26,7
1:01:07,7,359,7
1:01:08,8,49,6
1:01:09,24,17,9
1:01:10,53,5,5
1:01:11,30,3,9
1:01:12,6,47,8
1:01:13,24,15,6
1:01:14,2,19,534
1:01:15,1,4,9
1:01:16,49,24,6
1:01:17,36,4,47
1:01:18,13,5,9
1:01:19,5,45,8
1:01:20,24,26,4
1:01:21,526,3,9
1:01:22,24,16,9
1:01:23,1,5,8
1:01:24,28,3,7
1:01:25,534,48,7
1:01:26,6,38,6
1:01:27,4,43,5
1:01:28,7,48,6
1:01:29,15,2,9
1:01:30,5,14,9
1:01:31,3,476,7
1:01:32,38,14,5
1:01:33,3,1,9
1:01:34,1,12,6
1:01:35,19,3,46
1:01:36,5,1,7
1:01:37,7,49,7
1:01:38,21,26,9
1:01:39,628,47,7
1:01:40,6,54,6
1:01:41,36,2,7
1:01:42,6,5,4
1:01:43,6,5,960
1:01:44,4,22,5
1:01:45,6,47,8
1:01:46,2,15,7
1:01:47,5,5,6
1:01:48,7,47,903
1:01:49,287,5,7
1:01:50,6,2,5
1:01:51,5,26,6
1:01:52,27,43,45
1:01:53,2,16,9
1:01:54,12,1,777
1:01:55,6,43,6
1:01:56,14,43,8
1:01:57,5,14,9
1:01:58,9,17,6
1:01:59,12,25,909
1:02:00,5,22,898
1:02:01,6,13,6
1:02:02,1,4,47
1:02:03,47,16,6
1:02:04,5,17,7
1:02:05,8,43,9
1:02:06,6,45,6
1:02:07,7,1,8
1:02:08,4,1,8
1:02:09,4,3,701
1:02:10,47,21,8
1:02:11,3,47,706
1:02:12,20,41,9
1:02:13,48,18,8
1:02:14,5,45,7
1:02:15,16,11,5
1:02:16,4,28,5
1:02:17,40,21,45
1:02:18,4,22,7
1:02:19,5,4,638
1:02:20,5,3,49
1:02:21,41,41,7
1:02:22,3,15,6
1:02:23,28,28,9
1:02:24,1,5,7
1:02:25,4,12,4
1:02:26,6,13,6
1:02:27,2,4,6
1:02:28,5,32,8
1:02:29,49,30,8
1:02:30,1,22,526
1:02:31,7,21,880
1:02:32,19,5,6
1:02:33,7,30,7
1:02:34,37,4,8
1:02:35,1,4,6
1:02:36,20,4,9
1:02:37,43,3,9
1:02:38,27,1,5
1:02:39,5,26,7
1:02:40,5,5,7
1:02:41,11,48,7
1:02:42,9,5,747
1:02:43,5,2,8
1:02:44,21,3,9
1:02:45,673,4,5
1:02:46,22,34,8
1:02:47,3,31,7
1:02:48,15,5,5
1:02:49,5,252,7
1:02:50,44,4,8
1:02:51,11,4,611
1:02:52,5,2,8
1:02:53,23,4,5
1:02:54,6,11,5
1:02:55,6,43,9
1:02:56,4,44,6
1:02:57,39,3,5
1:02:58,4,35,6
1:02:59,22,5,5
1:03:00,20,302,6
1:03:01,6,13,9
1:03:02,7,16,6
1:03:03,9,5,4
1:03:04,7,2,8
1:03:05,5,34,9
1:03:06,39,33,7
1:03:07,16,3,672
1:03:08,2,1,8
1:03:09,41,11,7
1:03:10,6,23,8
1:03:11,14,5,5
1:03:12,40,1,5
1:03:13,3,4,8
1:03:14,24,20,4
1:03:15,5,13,49
1:03:16,40,2,6
1:03:17,3,4,6
1:03:18,5,13,9
1:03:19,43,5,825
1:03:20,42,504,5
1:03:21,4,26,778
1:03:22,866,38,4
1:03:23,6,22,8
1:03:24,6,15,7
1:03:25,5,4,478
1:03:26,2,30,9
1:03:27,6,26,530
1:03:28,22,2,46
1:03:29,27,4,9
1:03:30,3,17,7
1:03:31,426,2,7
1:03:32,568,317,8
1:03:33,44,25,7
1:03:34,5,2,5
1:03:35,4,48,5
1:03:36,49,30,8
1:03:37,3,16,4
1:03:38,16,36,6
1:03:39,40,42,5
1:03:40,6,3,4
1:03:41,6,12,431
1:03:42,5,2,9
1:03:43,1,40,5
1:03:44,6,30,8
1:03:45,2,37,5
1:03:46,39,1,9
1:03:47,2,5,6
1:03:48,4,23,4
1:03:49,6,24,469
1:03:50,41,2,7
1:03:51,7,30,69
1:03:52,5,33,9
1:03:53,28,3,7
1:03:54,1,5,8
1:03:55,23,4,5
1:03:56,14,2,6
1:03:57,643,22,7
1:03:58,6,15,7
1:03:59,3,12,628
1:04:00,7,4,540
1:04:01,22,36,8
1:04:02,5,2,6
1:04:03,9,19,852
1:04:04,15,16,6
1:04:05,34,1,5
1:04:06,609,40,79
1:04:07,38,4,8
1:04:08,44,12,8
1:04:09,5,22,7
1:04:10,5,293,9
1:04:11,6,5,8
1:04:12,4,2,5
1:04:13,4,16,9
1:04:14,6,541,8
1:04:15,6,27,6
1:04:16,5,23,5
1:04:17,4,1,4
1:04:18,46,30,6
1:04:19,4,42,6
1:04:20,5,12,7
1:04:21,3,29,9
1:04:22,5,45,9
1:04:23,44,20,9
1:04:24,2,21,9
1:04:25,17,528,5
1:04:26,24,4,8
1:04:27,3,49,7
1:04:28,28,39,9
1:04:29,7,3,7
1:04:30,5,49,8
1:04:31,3,14,9
1:04:32,6,12,5
1:04:33,33,5,7
1:04:34,8,45,8
1:04:35,6,14,9
1:04:36,24,5,8
1:04:37,6,5,9
1:04:38,5,2,937
1:04:39,5,3,7
1:04:40,682,15,5
1:04:41,18,14,7
1:04:42,3,31,4
1:04:43,305,31,5
1:04:44,8,27,7
1:04:45,11,4,5
1:04:46,5,20,534
1:04:47,27,3,9
1:04:48,1,49,9
1:04:49,20,4,4
1:04:50,20,2,493
1:04:51,22,4,7
1:04:52,32,4,6
1:04:53,3,31,8
1:04:54,24,17,6
1:04:55,42,40,8
1:04:56,594,2,5
1:04:57,4,46,5
1:04:58,6,2,7
1:04:59,8,4,6
1:05:00,5,2,9
1:05:01,9,5,6
1:05:02,23,2,6
1:05:03,7,4,8
1:05:04,6,27,9
1:05:05,15,3,7
1:05:06,4,4,875
1:05:07,37,5,4
1:05:08,34,2,7
1:05:09,7,18,6
1:05:10,2,18,7
1:05:11,5,26,5
1:05:12,38,4,445
1:05:13,25,5,45
1:05:14,2,5,4
1:05:15,44,4,9
1:05:16,32,2,6
1:05:17,20,42,6
1:05:18,3,22,6
1:05:19,36,15,4
1:05:20,31,5,5
1:05:21,5,3,5
1:05:22,45,3,5
1:05:23,2,3,7
